,idProposicao,idDeputadoAutor
420,2235899,204484.0
421,2235898,74655.0
422,2235897,74655.0
423,2235896,74655.0
424,2235895,204528.0
425,2235894,74655.0
426,2235893,204528.0
427,2235892,74655.0
428,2235891,178929.0
429,2235890,178929.0
430,2235889,178929.0
431,2235888,178929.0
432,2235887,178929.0
433,2235886,178929.0
434,2235885,178929.0
435,2235884,178929.0
436,2235883,178929.0
437,2235882,74655.0
438,2235881,74655.0
439,2235880,74655.0
440,2235879,204427.0
441,2235878,74655.0
442,2235877,204427.0
443,2235876,74655.0
444,2235875,204427.0
445,2235874,74655.0
446,2235873,204427.0
447,2235872,74655.0
448,2235871,90842.0
449,2235870,204506.0
450,2235869,204506.0
451,2235868,204506.0
452,2235867,204506.0
453,2235866,204506.0
454,2235865,204506.0
455,2235864,204506.0
456,2235863,204506.0
457,2235862,204506.0
458,2235861,204506.0
459,2235860,204506.0
460,2235859,204506.0
461,2235858,204506.0
462,2235857,204506.0
463,2235856,204506.0
464,2235855,204506.0
465,2235854,204506.0
466,2235853,204506.0
467,2235852,204506.0
468,2235851,204506.0
469,2235850,204506.0
470,2235849,204506.0
471,2235848,204506.0
472,2235847,204506.0
473,2235846,204506.0
474,2235845,204506.0
475,2235844,204506.0
476,2235843,204506.0
477,2235842,204506.0
478,2235841,204506.0
479,2235840,204506.0
480,2235839,204506.0
481,2235838,204506.0
482,2235837,204506.0
483,2235836,204506.0
484,2235835,204506.0
485,2235834,204506.0
486,2235833,204506.0
487,2235832,204506.0
488,2235831,204506.0
489,2235830,204506.0
490,2235829,204506.0
491,2235828,204506.0
492,2235827,204506.0
493,2235826,204506.0
494,2235825,204506.0
495,2235824,204506.0
496,2235823,204506.0
497,2235822,204506.0
498,2235821,204506.0
499,2235820,204506.0
500,2235819,204506.0
501,2235818,204506.0
502,2235817,204506.0
503,2235815,204365.0
504,2235814,204506.0
505,2235812,204506.0
506,2235811,204506.0
507,2235810,204506.0
508,2235808,204506.0
509,2235807,204506.0
510,2235806,204506.0
511,2235805,204506.0
512,2235804,204506.0
513,2235802,204506.0
514,2235801,204506.0
515,2235800,204506.0
516,2235799,204506.0
517,2235798,204506.0
518,2235797,204506.0
519,2235796,204506.0
520,2235795,204506.0
521,2235794,204506.0
522,2235793,204506.0
523,2235792,204506.0
524,2235791,204506.0
525,2235790,204506.0
526,2235789,204506.0
527,2235788,204506.0
528,2235787,204506.0
529,2235786,204506.0
530,2235785,204506.0
531,2235784,204506.0
532,2235783,204506.0
533,2235782,204506.0
534,2235781,204506.0
535,2235780,204411.0
536,2235779,204506.0
537,2235778,204506.0
538,2235777,204506.0
539,2235776,204506.0
540,2235775,204506.0
541,2235774,204506.0
542,2235773,204530.0
543,2235772,178951.0
544,2235771,204488.0
545,2235771,204530.0
546,2235769,204454.0
547,2235768,73788.0
548,2235768,160639.0
549,2235768,164360.0
550,2235768,178832.0
