,deputado_id,nome,idLegislaturaFinal,nomeCivil,siglaSexo,ufNascimento,municipioNascimento
6744,141464,Jose Airton Felix Cirilo,56,JOSE AIRTON FELIX CIRILO DA SILVA,M,CE,Aracati
6750,141470,Jose Guimaraes,56,JOSE NOBRE GUIMARAES,M,CE,Quixeramobim
6768,141488,Paulo Teixeira,56,LUIZ PAULO TEIXEIRA FERREIRA,M,SP,Aguas da Prata
6788,141508,Mauro Nazif,56,MAURO NAZIF RASUL,M,RJ,Barra do Pirai
6793,141513,Bilac Pinto,56,OLAVO BILAC PINTO NETO,M,RJ,Rio de Janeiro
6796,141516,Paulo Abi-Ackel,56,PAULO ABI-ACKEL,M,MG,Belo Horizonte
6798,141518,Paulo Pereira da Silva,56,PAULO PEREIRA DA SILVA,M,PR,Porecatu
6803,141523,Raul Henry,56,RAUL JEAN LOUIS HENRY JUNIOR,M,PE,Recife
6811,141531,Rodrigo de Castro,56,RODRIGO BATISTA DE CASTRO,M,MG,Vicosa
6831,141552,Valtenir Pereira,56,VALTENIR LUIZ PEREIRA,M,MT,Jaciara
6832,141553,Vanderlei Macris,56,VANDERLEI MACRIS,M,SP,Americana
6834,141555,Vinicius Carvalho,56,VINICIUS RAPOZO DE CARVALHO,M,RJ,Rio de Janeiro
6844,143084,Tiago Dimas,56,TIAGO BRAGA PEREIRA,M,MG,Uberaba
6847,143632,Domingos Neto,56,DOMINGOS GOMES DE AGUIAR NETO,M,CE,Fortaleza
6850,146307,Neri Geller,56,NERI GELLER,M,RS,Selbach
6853,146788,Marcelo Aro,56,MARCELO GUILHERME DE ARO FERREIRA,M,MG,Belo Horizonte
6862,150418,Marcio Marinho,56,MARCIO CARLOS MARINHO,M,RJ,Cabo Frio
6866,151208,Laercio Oliveira,56,LAERCIO JOSE DE OLIVEIRA,M,PE,Recife
6870,152605,Glauber Braga,56,GLAUBER DE MEDEIROS BRAGA,M,RJ,Nova Friburgo
6875,152610,Roberto Alves,56,BENEDITO ROBERTO ALVES FERREIRA,M,SP,Taubate
6879,154178,Milton Vieira,56,MILTON VIEIRA PINTO,M,SP,Iepe
6887,156190,Marcel van Hattem,56,MARCEL VAN HATTEM,M,RS,Sao Leopoldo
6889,157130,Tulio Gadelha,56,TULIO GADELHA SALES DE MELO,M,PE,Recife
6893,159237,Assis Carvalho,56,FRANCISCO DE ASSIS CARVALHO GONCALVES,M,PI,Oeiras
6894,159238,Marcus Pestana,56,MARCUS VINICIUS CAETANO PESTANA DA SILVA,M,MG,Juiz de Fora
6909,160508,Afonso Florence,56,AFONSO BANDEIRA FLORENCE,M,BA,Salvador
6911,160510,Luis Tibe,56,LUIS HENRIQUE DE OLIVEIRA RESENDE,M,MG,Belo Horizonte
6912,160511,Alessandro Molon,56,ALESSANDRO LUCCIOLA MOLON,M,MG,Belo Horizonte
6913,160512,Aureo Ribeiro,56,AUREO LIDIO MOREIRA RIBEIRO,M,RJ,Duque de Caxias
6918,160517,Paulo Foletto,56,PAULO ROBERTO FOLETTO,M,ES,Colatina
6919,160518,Weliton Prado,56,WELITON FERNANDES PRADO,M,MG,Uberlandia
6922,160527,Aguinaldo Ribeiro,56,AGUINALDO VELLOSO BORGES RIBEIRO,M,PB,Campina Grande
6923,160528,Danilo Cabral,56,DANILO JORGE DE BARROS CABRAL,M,PE,Surubim
6926,160531,Jhonatan de Jesus,56,JOHNATHAN PEREIRA DE JESUS,M,RR,Boa Vista
6927,160532,Eli Correa Filho,56,ADRIANO ELI CORREA,M,SP,Sao Paulo
6929,160534,Lauriete,56,LAURIETE RODRIGUES DE JESUS,F,ES,Vila Velha
6930,160535,Marcon,56,DIONILSO MATEUS MARCON,M,RS,Ronda Alta
6933,160538,Bohn Gass,56,ELVINO JOSE BOHN GASS,M,RS,Santo Cristo
6936,160541,Arthur Lira,56,ARTHUR CESAR PEREIRA DE LIRA,M,AL,Maceio
6940,160545,Alexandre Leite,56,ALEXANDRE LEITE DA SILVA,M,SP,Sao Paulo
6947,160552,Danrlei de Deus Hinterholz,56,DANRLEI DE DEUS HINTERHOLZ,M,RS,Crissiumal
6948,160553,Antonio Brito,56,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,M,BA,Salvador
6951,160556,Padre Joao,56,JOAO CARLOS SIQUEIRA,M,MG,Urucania
6953,160558,Paulo Freire Costa,56,PAULO ROBERTO FREIRE DA COSTA,M,SP,Sao Paulo
6954,160559,Alceu Moreira,56,ALCEU MOREIRA DA SILVA,M,RS,Osorio
6964,160569,Waldenor Pereira,56,WALDENOR ALVES PEREIRA FILHO,M,BA,Cacule
6965,160570,Jeronimo Goergen,56,JERONIMO PIZZOLOTTO GOERGEN,M,RS,Palmeira das Missoes
6970,160575,Erika Kokay,56,ERIKA JUCA KOKAY,F,CE,Fortaleza
6981,160587,Fabio Trad,56,FABIO RICARDO TRAD,M,MS,Campo Grande
6982,160588,Diego Andrade,56,DIEGO LEONARDO DE ANDRADE CARVALHO,M,MG,Belo Horizonte
6983,160589,Bruna Furlan,56,BRUNA DIAS FURLAN,F,SP,Barueri
6985,160591,Vinicius Gurgel,56,VINICIUS DE AZEVEDO GURGEL,M,AP,Macapa
6986,160592,Zeca Dirceu,56,JOSE CARLOS BECKER DE OLIVEIRA E SILVA,M,PR,Umuarama
6992,160598,Flavia Morais,56,FLAVIA CARREIRO ALBUQUERQUE MORAIS,F,MG,Belo Horizonte
6993,160599,Dimas Fabiano,56,DIMAS FABIANO TOLEDO JUNIOR,M,RJ,Macae
6994,160600,Arthur Oliveira Maia,56,ARTHUR DE OLIVEIRA MAIA DA SILVA,M,BA,Salvador
6995,160601,Pr. Marco Feliciano,56,MARCO ANTONIO FELICIANO,M,SP,Orlandia
6998,160604,Pedro Uczai,56,PEDRO FRANCISCO UCZAI,M,SC,Descanso
7004,160610,Valmir Assuncao,56,VALMIR CARLOS DA ASSUNCAO,M,BA,Itamaraju
7013,160619,Jose Nunes,56,JOSE NUNES SOARES,M,PE,Belem de Sao Francisco
7015,160621,Sandro Alex,56,SANDRO ALEX CRUZ DE OLIVEIRA,M,PR,Ponta Grossa
7026,160632,Ze Silva,56,JOSE SILVA SOARES,M,MG,Iturama
7029,160635,Ruy Carneiro,56,RUY MANUEL CARNEIRO BARBOSA DE ACA BELCHIOR,M,PB,Joao Pessoa
7033,160639,Professora Dorinha Seabra Rezende,56,MARIA AUXILIADORA SEABRA REZENDE,F,GO,Goiania
7034,160640,Eros Biondini,56,EROS FERREIRA BIONDINI,M,MG,Belo Horizonte
7035,160641,Professora Marcivania,56,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,F,AP,Macapa
7036,160642,Pastor Eurico,56,FRANCISCO EURICO DA SILVA,M,SP,Presidente Prudente
7039,160645,Luiz Carlos,56,LUIZ CARLOS GOMES DOS SANTOS JUNIOR,M,AP,Amapa
7045,160651,Rogerio Peninha Mendonca,56,ROGERIO MENDONCA,M,SC,Nova Trento
7047,160653,Roberto de Lucena,56,ROBERTO ALVES DE LUCENA,M,SP,Santa Isabel
7049,160655,Ricardo Izar,56,RICARDO IZAR JUNIOR,M,SP,Sao Paulo
7059,160665,Augusto Coutinho,56,AUGUSTO RODRIGUES COUTINHO DE MELO,M,PE,Recife
7060,160666,Felix Mendonca Junior,56,FELIX DE ALMEIDA MENDONCA JUNIOR,M,BA,Itabuna
7061,160667,Guilherme Mussi,56,GUILHERME MUSSI FERREIRA,M,PR,Curitiba
7063,160669,Genecias Noronha,56,GENECIAS MATEUS NORONHA,M,CE,Fortaleza
7066,160672,Jean Wyllys,56,JEAN WYLLYS DE MATOS SANTOS,M,BA,Alagoinhas
7067,160673,Giovani Cherini,56,GIOVANI CHERINI,M,RS,Soledade
7068,160674,Hugo Motta,56,HUGO MOTTA WANDERLEY DA NOBREGA,M,PB,Joao Pessoa
7075,160758,Domingos Savio,56,DOMINGOS SAVIO CAMPOS RESENDE,M,MG,Sao Tiago
7077,160976,Tiririca,56,FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,M,CE,Itapipoca
7078,161550,Emidinho Madeira,56,EMIDIO ALVES MADEIRA JUNIOR,M,MG,Nova Resende
7087,162332,Luiz Nishimori,56,LUIZ HILOSHI NISHIMORI,M,PR,Marialva
7092,164359,Delegado Waldir,56,WALDIR SOARES DE OLIVEIRA,M,PR,Jacarezinho
7093,164360,Carmen Zanotto,56,CARMEN EMILIA BONFA ZANOTTO,F,SC,Lages
7099,166402,Magda Mofatto,56,MAGDA MOFATTO HON,F,SP,Limeira
7107,168175,Simplicio Araujo,56,JOSE SIMPLICIO ALVES DE ARAUJO,M,MA,Bacabal
7116,171617,Paulao,56,PAULO FERNANDO DOS SANTOS,M,AL,Maceio
7118,171619,Margarida Salomao,56,MARIA MARGARIDA MARTINS SALOMAO,F,MG,Juiz de Fora
7122,171623,Fabio Reis,56,FABIO DE ALMEIDA REIS,M,SE,Lagarto
7139,177282,Subtenente Gonzaga,56,LUIZ GONZAGA RIBEIRO,M,MG,Manhuacu
7148,178829,Capitao Augusto,56,JOSE AUGUSTO ROSA,M,SP,Ourinhos
7149,178830,Dr. Sinval Malheiros,56,SINVAL MALHEIROS PINTO JUNIOR,M,SP,Sao Paulo
7150,178831,Andre Abdon,56,ANDRE DOS SANTOS ABDON,M,PA,Belem
7151,178832,Leandre,56,LEANDRE DAL PONTE,F,PR,Pato Branco
7152,178833,Alexandre Serfiotis,56,ALEXANDRE AUGUSTUS SERFIOTIS,M,RJ,Porto Real
7154,178835,Afonso Motta,56,AFONSO ANTUNES DA MOTTA,M,RS,Porto Alegre
7155,178836,Alan Rick,56,ALAN RICK MIRANDA,M,AC,Rio Branco
7158,178839,Jessica Sales,56,JESSICA ROJAS SALES,F,AC,Cruzeiro do Sul
7161,178842,Jhc,56,JOAO HENRIQUE HOLANDA  CALDAS,M,AL,Maceio
7162,178843,Marx Beltrao,56,MARX BELTRAO LIMA SIQUEIRA,M,AL,Maceio
7172,178853,Caetano,56,LUIZ CARLOS CAETANO,M,BA,Central
7173,178854,Elmar Nascimento,56,ELMAR JOSE VIEIRA NASCIMENTO,M,BA,Campo Formoso
7176,178857,Jorge Solla,56,JORGE JOSE SANTOS PEREIRA SOLLA,M,BA,Salvador
7177,178858,Mario Negromonte Jr.,56,MARIO SILVIO MENDES NEGROMONTE JUNIOR,M,BA,Paulo Afonso
7179,178860,Paulo Azi,56,PAULO VELLOSO DANTAS AZI,M,BA,Salvador
7180,178861,Ronaldo Carletto,56,RONALDO CARLETTO,M,ES,Conceicao da Barra
7182,178863,Uldurico Junior,56,ULDURICO ALENCAR PINTO,M,DF,Brasilia
7185,178866,Luizianne Lins,56,LUIZIANNE DE OLIVEIRA LINS,F,CE,Fortaleza
7190,178871,Evair Vieira de Melo,56,EVAIR VIEIRA DE MELO,M,ES,Conceicao do Castelo
7192,178873,Helder Salomao,56,HELDER IGNACIO SALOMAO,M,ES,Colatina
7193,178874,Sergio Vidigal,56,ANTONIO SERGIO ALVES VIDIGAL,M,ES,Vitoria
7195,178876,Celio Silveira,56,CELIO ANTONIO DA SILVEIRA,M,GO,Luziania
7198,178879,Lucas Vergilio,56,LUCAS DE CASTRO SANTOS,M,GO,Goiania
7200,178881,Aluisio Mendes,56,ALUISIO GUIMARAES MENDES FILHO,M,MG,Belo Horizonte
7201,178882,Andre Fufuca,56,ANDRE LUIZ CARVALHO RIBEIRO,M,MA,Santa Ines
7203,178884,Hildo Rocha,56,HILDO AUGUSTO DA ROCHA NETO,M,MA,Sao Luis
7205,178886,Juscelino Filho,56,JOSE JUSCELINO DOS SANTOS REZENDE FILHO,M,MA,Sao Luis
7206,178887,Rubens Pereira Junior,56,RUBENS PEREIRA E SILVA JUNIOR,M,MA,Sao Luis
7208,178889,Ze Carlos,56,JOSE CARLOS NUNES JUNIOR,M,MA,Sao Luis
7214,178895,Misael Varella,56,MISAEL ARTUR FERREIRA VARELLA,M,MG,Muriae
7215,178896,Newton Cardoso Jr,56,NEWTON CARDOSO JUNIOR,M,MG,Belo Horizonte
7220,178901,Tereza Cristina,56,TEREZA CRISTINA CORREA DA COSTA DIAS,F,MS,Campo Grande
7227,178908,Delegado Eder Mauro,56,EDER MAURO CARDOSO BARRA,M,PA,Belem
7228,178909,Helio Leite,56,HELIO LEITE DA SILVA,M,PA,Castanhal
7229,178910,Joaquim Passarinho,56,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,M,PA,Belem
7231,178912,Pedro Cunha Lima,56,PEDRO OLIVEIRA CUNHA LIMA,M,PB,Campina Grande
7235,178916,Daniel Coelho,56,DANIEL PIRES COELHO,M,PE,Recife
7239,178920,Ricardo Teobaldo,56,RICARDO TEOBALDO CAVALCANTI,M,PE,Limoeiro
7240,178921,Sebastiao Oliveira,56,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,M,PE,Recife
7241,178922,Tadeu Alencar,56,FRANCISCO TADEU BARBOSA DE ALENCAR,M,CE,Juazeiro do Norte
7243,178924,Capitao Fabio Abreu,56,FABIO ABREU COSTA,M,CE,Fortaleza
7244,178925,Rejane Dias,56,REJANE RIBEIRO SOUSA DIAS,F,PI,Teresina
7246,178927,Aliel Machado,56,ALIEL MACHADO BARK,M,PR,Ponta Grossa
7247,178928,Christiane de Souza Yared,56,CHRISTIANE DE SOUZA YARED,F,PR,Curitiba
7248,178929,Diego Garcia,56,DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,PR,Bandeirantes
7249,178930,Roman,56,EVANDRO ROGERIO ROMAN,M,RS,Erval Grande
7250,178931,Luciano Ducci,56,LUCIANO DUCCI,M,PR,Curitiba
7252,178933,Sergio Souza,56,SERGIO DE SOUZA,M,PR,Ivaipora
7253,178934,Toninho Wandscheer,56,ANTONIO WANDSCHEER,M,PR,Foz do Iguacu
7256,178937,Altineu Cortes,56,ALTINEU CORTES FREITAS COUTINHO,M,RJ,Sao Goncalo
7258,178939,Clarissa Garotinho,56,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,RJ,Campos dos Goytacazes
7262,178943,Marcos Soares,56,MARCOS BEZERRA RIBEIRO SOARES,M,RJ,Rio de Janeiro
7264,178945,Rosangela Gomes,56,ROSANGELA DE SOUZA GOMES,F,RJ,Rio de Janeiro
7265,178946,Soraya Santos,56,SORAYA ALENCAR DOS SANTOS,F,RJ,Macae
7266,178947,Sostenes Cavalcante,56,SOSTENES SILVA CAVALCANTE,M,AL,Maceio
7267,178948,Beto Rosado,56,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,M,RN,Mossoro
7270,178951,Rafael Motta,56,RAFAEL HUETE DA MOTTA,M,RN,Natal
7271,178952,Walter Alves,56,WALTER PEREIRA ALVES,M,RN,Natal
