idVotacao,voto,deputado_id,deputado_siglaPartido,pardido_id,deputado_siglaUf
1049075-6,1.0,178864,PHS,36793,CE
1049075-6,1.0,178890,PT,36844,MG
1049075-6,1.0,178968,PTB,36845,SE
1049075-6,1.0,133374,PROS,36763,MG
1049075-6,1.0,178903,PSB,36832,MT
1049075-6,1.0,160508,PT,36844,BA
1049075-6,1.0,136811,PP,36809,RS
1049075-6,-1.0,178835,PDT,36786,RS
1049075-6,1.0,160527,PP,36809,PB
1049075-6,1.0,178836,PRB,36815,AC
1049075-6,-1.0,73579,DEM,36769,DF
1049075-6,1.0,160559,PMDB,36800,RS
1049075-6,1.0,160511,PT,36844,RJ
1049075-6,1.0,73458,PTB,36845,PR
1049075-6,1.0,178833,PSD,36834,RJ
1049075-6,-1.0,178936,PRP,36824,RJ
1049075-6,1.0,178846,PR,36814,AM
1049075-6,-1.0,74057,PCdoB,36779,BA
1049075-6,1.0,178937,PR,36814,RJ
1049075-6,1.0,178973,PT,36844,SP
1049075-6,1.0,178831,PRB,36815,AP
1049075-6,-1.0,133439,PDT,36786,CE
1049075-6,1.0,178974,PT,36844,SP
1049075-6,1.0,178837,PT,36844,AC
1049075-6,1.0,74213,PROS,36763,CE
1049075-6,1.0,160553,PTB,36845,BA
1049075-6,1.0,141383,PRB,36815,SP
1049075-6,-1.0,73584,PSDB,36835,SP
1049075-6,-1.0,160530,PSDB,36835,BA
1049075-6,-1.0,73434,PTB,36845,SP
1049075-6,-1.0,160600,SD,36765,BA
1049075-6,-1.0,178847,PSDB,36835,AM
1049075-6,1.0,159237,PT,36844,PI
1049075-6,1.0,74378,PT,36844,PR
1049075-6,1.0,74459,PSB,36832,PI
1049075-6,-1.0,73655,SD,36765,DF
1049075-6,-1.0,160665,SD,36765,PE
1049075-6,-1.0,69871,PTN,36848,BA
1049075-6,1.0,178834,PSB,36832,BA
1049075-6,1.0,73701,PT,36844,RJ
1049075-6,1.0,74535,PTB,36845,BA
1049075-6,-1.0,74040,SD,36765,PB
1049075-6,-1.0,178915,PSDB,36835,PE
1049075-6,1.0,141335,PT,36844,PA
1049075-6,1.0,141513,PR,36814,MG
1049075-6,1.0,160538,PT,36844,RS
1049075-6,-1.0,141394,PSDB,36835,PE
1049075-6,-1.0,178976,PSDB,36835,SP
1049075-6,-1.0,178938,PSOL,36839,RJ
1049075-6,-1.0,178865,PR,36814,CE
1049075-6,1.0,105112,PMDB,36800,AP
1049075-6,1.0,93083,PP,36809,BA
1049075-6,1.0,178853,PT,36844,BA
1049075-6,-1.0,178891,PSDB,36835,MG
1049075-6,-1.0,178829,PR,36814,SP
1049075-6,1.0,178958,PHS,36793,RR
1049075-6,-1.0,74474,PCdoB,36779,PE
1049075-6,-1.0,178962,PRB,36815,RS
1049075-6,1.0,178993,PMDB,36800,TO
1049075-6,-1.0,74163,SD,36765,ES
1049075-6,1.0,164360,PPS,36813,SC
1049075-6,-1.0,178876,PSDB,36835,GO
1049075-6,1.0,141405,PMDB,36800,SC
1049075-6,1.0,72912,PMDB,36800,RJ
1049075-6,1.0,73441,PRB,36815,SP
1049075-6,1.0,178838,PSB,36832,AC
1049075-6,1.0,73720,PSD,36834,SC
1049075-6,1.0,74171,PSOL,36839,RJ
1049075-6,1.0,141439,PT,36844,RJ
1049075-6,-1.0,178928,PTN,36848,PR
1049075-6,1.0,178841,PRTB,36829,AL
1049075-6,1.0,141408,PRB,36815,MA
1049075-6,1.0,178848,PP,36809,AM
1049075-6,-1.0,178963,PP,36809,RS
1049075-6,1.0,93472,PTB,36845,RJ
1049075-6,-1.0,141411,PDT,36786,MS
1049075-6,1.0,178892,PMN,36801,MG
1049075-6,-1.0,178916,PSDB,36835,PE
1049075-6,1.0,144523,PMDB,36800,GO
1049075-6,1.0,160552,PSD,36834,RS
1049075-6,1.0,73891,PMDB,36800,RS
1049075-6,1.0,178908,PSD,36834,PA
1049075-6,1.0,178893,PTN,36848,MG
1049075-6,-1.0,74172,PTB,36845,RJ
1049075-6,1.0,178929,PHS,36793,PR
1049075-6,1.0,73768,PP,36809,PR
1049075-6,1.0,160599,PP,36809,MG
1049075-6,1.0,143632,PROS,36763,CE
1049075-6,-1.0,160758,PSDB,36835,MG
1049075-6,1.0,160643,PROS,36763,ES
1049075-6,1.0,178994,PMDB,36800,TO
1049075-6,1.0,73793,PMDB,36800,SC
1049075-6,1.0,141417,PMDB,36800,RR
1049075-6,1.0,160578,PSC,36833,PR
1049075-6,1.0,134812,PSOL,36839,PA
1049075-6,-1.0,74655,PSDB,36835,MG
1049075-6,-1.0,92346,PSC,36833,SP
1049075-6,0.0,74173,PMDB,36800,RJ
1049075-6,-1.0,178977,PSDB,36835,SP
1049075-6,1.0,178883,PPS,36813,MA
1049075-6,-1.0,178854,DEM,36769,BA
1049075-6,1.0,132504,PT,36844,PR
1049075-6,1.0,160575,PT,36844,DF
1049075-6,-1.0,178871,PV,36851,ES
1049075-6,-1.0,178828,PV,36851,SP
1049075-6,1.0,178930,PSD,36834,PR
1049075-6,-1.0,178953,SD,36765,RO
1049075-6,1.0,178904,PP,36809,MT
1049075-6,-1.0,178941,SD,36765,RJ
1049075-6,1.0,146829,PT,36844,RJ
1049075-6,1.0,178905,PSB,36832,MT
1049075-6,1.0,178969,PSD,36834,SE
1049075-6,1.0,141427,PV,36851,MG
1049075-6,1.0,171623,PMDB,36800,SE
1049075-6,-1.0,178877,PSDB,36835,GO
1049075-6,1.0,141430,PSD,36834,RJ
1049075-6,-1.0,141429,DEM,36769,RN
1049075-6,-1.0,160666,PDT,36786,BA
1049075-6,1.0,141431,PSB,36832,PE
1049075-6,1.0,163831,PMDB,36800,RJ
1049075-6,1.0,92699,PP,36809,PE
1049075-6,1.0,178978,PSB,36832,SP
1049075-6,0.0,178907,PSD,36834,PA
1049075-6,1.0,160677,PR,36814,RJ
1049075-6,-1.0,178966,PSDB,36835,SC
1049075-6,1.0,160673,PDT,36786,RS
1049075-6,-1.0,178878,PSDB,36835,GO
1049075-6,1.0,74558,PROS,36763,AL
1049075-6,1.0,178872,PT,36844,ES
1049075-6,1.0,178980,PSD,36834,SP
1049075-6,-1.0,178909,DEM,36769,PA
1049075-6,1.0,97707,PSB,36832,PI
1049075-6,1.0,178981,PSD,36834,SP
1049075-6,1.0,73772,PMDB,36800,PR
1049075-6,1.0,160596,PSD,36834,GO
1049075-6,1.0,178884,PMDB,36800,MA
1049075-6,1.0,178959,PMN,36801,RR
1049075-6,1.0,178849,PPS,36813,AM
1049075-6,1.0,141450,PROS,36763,RJ
1049075-6,1.0,160674,PMDB,36800,PB
1049075-6,1.0,141389,PSD,36834,RJ
1049075-6,1.0,178855,PSC,36833,BA
1049075-6,1.0,73531,PSOL,36839,SP
1049075-6,1.0,74665,PSD,36834,MG
1049075-6,-1.0,74847,PP,36809,RJ
1049075-6,-1.0,74848,PCdoB,36779,RJ
1049075-6,1.0,73926,PSB,36832,AP
1049075-6,-1.0,178842,SD,36765,AL
1049075-6,-1.0,141503,PCdoB,36779,MG
1049075-6,1.0,160573,PMDB,36800,PR
1049075-6,-1.0,74366,PSDB,36835,GO
1049075-6,1.0,141458,PR,36814,BA
1049075-6,-1.0,74445,PSDB,36835,MA
1049075-6,1.0,178970,PT,36844,SE
1049075-6,-1.0,178965,PCdoB,36779,RS
1049075-6,1.0,178917,PSB,36832,PE
1049075-6,-1.0,178856,PSDB,36835,BA
1049075-6,1.0,112437,PMDB,36800,MA
1049075-6,1.0,160571,PSD,36834,SC
1049075-6,1.0,178910,PSD,36834,PA
1049075-6,1.0,178971,PRB,36815,SE
1049075-6,1.0,74388,PP,36809,SC
1049075-6,1.0,160572,PTB,36845,PE
1049075-6,1.0,178857,PT,36844,BA
1049075-6,1.0,160509,PR,36814,SC
1049075-6,1.0,141464,PT,36844,CE
1049075-6,-1.0,74553,DEM,36769,BA
1049075-6,1.0,131966,PMDB,36800,RS
1049075-6,1.0,74275,PT,36844,SP
1049075-6,1.0,73714,PSB,36832,MA
1049075-6,-1.0,160607,PSB,36832,RS
1049075-6,1.0,114941,PMDB,36800,TO
1049075-6,1.0,74351,PTB,36845,PA
1049075-6,1.0,178851,PTB,36845,AP
1049075-6,1.0,67312,PSC,36833,PA
1049075-6,1.0,74317,PSD,36834,PI
1049075-6,-1.0,73586,PSB,36832,MG
