deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo
74460,MARCELO CASTRO,51,55,M
74467,Damiao Feliciano,51,56,M
74470,MARCONDES GADELHA,44,55,M
74471,Andre de Paula,51,56,M
74474,CARLOS EDUARDO CADOCA,51,55,M
74478,Luciano Bivar,51,56,M
74535,BENITO GAMA,48,55,M
74537,Claudio Cajado,50,56,M
74553,JOSE CARLOS ALELUIA,49,55,M
74554,Jose Rocha,50,56,M
74558,GIVALDO CARIMBAO,51,55,M
74570,JUTAHY JUNIOR,47,55,M
74571,Nelson Pellegrino,51,56,M
74574,Paulo Magalhaes,51,56,M
74585,Lincoln Portela,51,56,M
74634,MARCOS MEDRADO,49,55,M
74646,Aecio Neves,48,56,M
74650,BONIFACIO DE ANDRADA,46,55,M
74651,CARLOS MELLES,50,55,M
74655,Eduardo Barbosa,50,56,M
74662,HUMBERTO SOUTO,45,55,M
74665,JAIME MARTINS,50,55,M
74688,LUIZ SERGIO,51,55,M
74693,Rodrigo Maia,51,56,M
74749,Mauro Lopes,50,56,M
74751,NILMARIO MIRANDA,49,55,M
74752,ODELMO LEAO,49,55,M
74762,SARAIVA FELIPE,50,55,M
74765,SILAS BRASILEIRO,50,55,M
74784,Luiza Erundina,51,56,F
74787,MILTON MONTI,51,55,M
74806,Tadeu Filippelli,51,56,M
74812,PEDRO CHAVES,51,55,M
74833,AROLDE DE OLIVEIRA,47,55,M
74847,JAIR BOLSONARO,49,55,M
74848,Jandira Feghali,49,56,F
74856,LAURA CARNEIRO,50,55,F
74862,MIRO TEIXEIRA,44,55,M
75431,Mauricio Dziedricki,54,56,M
76287,MARCELO MATOS,54,55,M
80920,PENNA,54,55,M
81232,IRAJA ABREU,54,55,M
81366,LUANA COSTA,55,55,F
88950,RODRIGO GARCIA,54,55,M
91208,ROBINSON ALMEIDA,55,55,M
92346,Eduardo Bolsonaro,55,56,M
92355,VITOR PAULO,54,55,M
92699,Fernando Monteiro,55,56,M
92776,Stefano Aguiar,54,56,M
93083,Caca Leao,55,56,M
93472,CRISTIANE BRASIL,55,55,F
94931,LUCIO VIEIRA LIMA,54,55,M
97707,HERACLITO FORTES,46,55,M
99654,ERIVELTON SANTANA,54,55,M
101309,DAVIDSON MAGALHAES,55,55,M
105112,CABUCU BORGES,55,55,M
112437,Joao Marcelo Souza,55,56,M
113247,VALMIR PRASCIDELLI,55,55,M
114941,JOSI NUNES,55,55,F
118594,MARCELO SQUASSONI,55,55,M
122158,Pedro Paulo,54,56,M
122466,Ronaldo Martins,55,56,M
124411,MAURO PEREIRA,55,55,M
128760,Paulo Marinho Jr,54,56,M
129037,GABRIEL GUIMARAES,54,55,M
129618,GORETE PEREIRA,52,55,F
131943,JARBAS VASCONCELOS,45,55,M
131966,JOSE FOGACA,47,55,M
132056,PAULO MALUF,47,55,M
132504,Enio Verri,55,56,M
133373,MARCO MAIA,52,55,M
133374,ADEMIR CAMILO,52,55,M
133439,Andre Figueiredo,52,56,M
133968,Paulo Ramos,48,56,M
134812,Edmilson Rodrigues,55,56,M
136811,Afonso Hamm,52,56,M
137070,Vicentinho Junior,55,56,M
137853,WADSON RIBEIRO,54,55,M
