idProposicao,idDeputadoAutor
2237302,141450.0
2237301,141450.0
2237300,141450.0
2237299,204521.0
2237298,204375.0
2237297,204521.0
2237296,204521.0
2237295,204375.0
2237294,204521.0
2237293,141411.0
2237292,204375.0
2237291,141411.0
2237290,141411.0
2237289,204521.0
2237288,141411.0
2237287,178964.0
2237286,160532.0
2237285,178964.0
2237284,160532.0
2237283,74749.0
2237282,160532.0
2237281,204518.0
2237280,69871.0
2237279,69871.0
2237278,204518.0
2237277,69871.0
2237276,69871.0
2237275,204518.0
2237274,69871.0
2237273,178889.0
2237272,160653.0
2237271,160653.0
2237270,160653.0
2237269,204392.0
2237268,74052.0
2237267,74052.0
2237266,74052.0
2237265,74052.0
2237264,122974.0
2237263,122974.0
2237262,122974.0
2237260,74749.0
2237259,141450.0
2237258,141450.0
2237257,141450.0
2237256,141450.0
2237252,178928.0
2237250,178934.0
2237249,178889.0
2237248,116379.0
2237246,178889.0
2237245,116379.0
2237244,178889.0
2237242,204558.0
2237241,178889.0
2237240,204558.0
2237239,204558.0
2237238,204558.0
2237237,178889.0
2237236,204558.0
2237235,178829.0
2237234,73486.0
2237233,73486.0
2237232,204480.0
2237230,204480.0
2237229,204480.0
2237227,73486.0
2237226,141508.0
2237224,178928.0
2237222,141508.0
2237221,73486.0
2237220,178928.0
2237219,178928.0
2237218,141508.0
2237217,178928.0
2237216,178928.0
2237214,178928.0
2237211,141508.0
2237210,178829.0
2237209,178829.0
2237208,160674.0
2237207,160674.0
2237206,74299.0
2237204,74299.0
2237200,178886.0
2237043,151208.0
2236570,204480.0
2236569,204480.0
2236352,160666.0
2236351,204556.0
2236350,204556.0
2236212,204468.0
2236211,204496.0
2236210,204496.0
2236203,204528.0
2236202,204528.0
2236201,204496.0
2236200,204496.0
2236199,73696.0
2236198,73696.0
2236197,73696.0
2236196,73696.0
2236195,73696.0
2236194,73696.0
2236193,73696.0
2236192,73696.0
2236191,204369.0
2236183,160512.0
2236182,204444.0
2236181,73943.0
2236180,73943.0
2236179,73943.0
2236178,73943.0
2236177,73943.0
2236175,73943.0
2236174,73943.0
2236173,73943.0
2236172,204468.0
2236171,73943.0
2236170,204397.0
2236169,204468.0
2236168,73943.0
2236167,73943.0
2236166,204468.0
2236165,73943.0
2236164,73943.0
2236163,73943.0
2236162,73943.0
2236161,204468.0
2236160,73943.0
2236159,73943.0
2236158,73943.0
2236157,73943.0
2236156,73943.0
2236155,204468.0
2236154,73943.0
2236153,73943.0
2236152,73943.0
2236151,73943.0
2236150,73943.0
2236149,73943.0
2236148,204468.0
2236147,204468.0
2236146,204468.0
2236145,73943.0
2236144,204468.0
2236143,204468.0
2236142,73943.0
2236141,73943.0
2236140,73943.0
2236139,73943.0
2236138,73943.0
2236137,73943.0
2236136,73943.0
2236135,73943.0
2236134,73943.0
2236133,73943.0
2236132,73943.0
2236131,73943.0
2236130,73943.0
2236129,73943.0
2236128,73943.0
