id,idOrgao,idEvento,aprovacao,votosSim,votosNao,votosOutros,ultimaApresentacaoProposicao_idProposicao
2167938-18,180,50718,0.0,10,286,53,0
2167938-21,180,50718,0.0,21,259,45,0
2168064-9,180,50721,1.0,328,7,58,0
2168064-12,180,50721,0.0,10,329,62,0
2168064-15,180,50721,0.0,32,338,36,0
2168064-19,180,50721,1.0,340,72,2,0
2168064-21,180,50721,1.0,0,0,0,0
2168027-2,538146,50709,1.0,0,0,0,0
2151922-57,180,50728,0.0,17,245,100,0
2151922-66,180,50732,0.0,25,234,134,0
2166298-19,180,0,1.0,0,0,0,2166800
2152544-38,180,50742,0.0,0,0,0,0
2152544-42,180,50742,0.0,0,0,0,0
2152544-49,180,50742,1.0,0,0,0,0
2152544-53,180,50742,0.0,0,0,0,0
2152544-56,180,50742,0.0,0,0,0,0
2152544-58,180,50742,1.0,0,0,0,0
2152544-60,180,50742,0.0,0,0,0,0
2152544-65,180,50750,0.0,0,0,0,0
2152544-66,180,50750,1.0,0,0,0,0
2152544-69,180,50750,0.0,0,0,0,0
2152544-73,180,50750,0.0,128,240,1,0
2152544-77,180,50750,0.0,0,0,0,0
2166800-10,180,50750,1.0,0,0,0,0
2166298-18,180,0,1.0,0,0,0,2166800
2152544-79,180,50750,1.0,0,0,0,0
2153038-35,180,50750,1.0,0,0,0,0
2153038-38,180,50750,1.0,0,0,0,0
2153038-41,180,50750,1.0,0,0,0,0
2153038-43,180,50750,0.0,0,0,0,0
2153038-45,180,50750,1.0,0,0,0,0
2153038-47,180,50750,1.0,0,0,0,0
2153038-48,180,50750,1.0,0,0,0,0
2153525-50,180,50755,1.0,0,0,0,2168467
2168389-2,537859,50740,1.0,0,0,0,0
2153525-40,180,50755,0.0,0,0,0,2168467
2153525-43,180,50755,0.0,0,0,0,2168467
2153525-46,180,50755,1.0,0,0,0,2168467
2153525-48,180,50755,1.0,0,0,0,2168467
2163149-30,180,50759,0.0,0,0,0,0
2163149-33,180,50759,0.0,0,0,0,0
2163149-41,180,50759,1.0,0,0,0,2168592
2163149-51,180,50759,1.0,0,0,0,2168592
2163149-54,180,50759,0.0,0,0,0,2168592
2163149-57,180,50759,1.0,0,0,0,2168592
2163149-61,180,50759,0.0,0,0,0,2168592
2163149-63,180,50759,1.0,0,0,0,2168592
2166199-2,537745,50748,1.0,0,0,0,0
2168342-2,537745,50748,1.0,0,0,0,0
2168343-2,537745,50748,1.0,0,0,0,0
2168344-2,537745,50748,1.0,0,0,0,0
2168345-2,537745,50748,1.0,0,0,0,0
2168346-2,537745,50748,1.0,0,0,0,0
2088280-106,180,50765,1.0,0,0,0,2168650
2088280-111,180,50765,0.0,29,283,5,2168650
2088280-114,180,50765,1.0,227,166,12,2168650
2088280-117,180,50765,1.0,0,0,0,2168650
2088280-119,180,50765,1.0,0,0,0,2168650
2168594-2,537784,50761,1.0,0,0,0,0
2168595-2,537784,50761,1.0,0,0,0,0
2166298-31,180,50766,1.0,0,0,0,2168674
2166298-34,180,50766,1.0,0,0,0,2168674
2024699-50,180,50766,1.0,0,0,0,0
2024699-52,180,50766,1.0,0,0,0,0
593637-94,180,0,1.0,0,0,0,786608
2150301-26,180,0,1.0,0,0,0,2168828
2141477-32,180,0,1.0,0,0,0,2168829
1579163-53,180,0,1.0,0,0,0,2168830
2153086-24,180,0,1.0,0,0,0,2168831
621466-7,180,50788,1.0,0,0,0,0
593637-93,180,0,1.0,0,0,0,786608
2168828-4,180,50788,1.0,0,0,0,0
2150301-25,180,0,1.0,0,0,0,2168828
2168829-4,180,50788,1.0,0,0,0,0
2141477-31,180,0,1.0,0,0,0,2168829
2168830-4,180,50788,1.0,0,0,0,0
1579163-52,180,0,1.0,0,0,0,2168830
2168831-4,180,50788,1.0,0,0,0,0
2153086-23,180,0,1.0,0,0,0,2168831
1278738-95,180,50788,1.0,0,0,0,2168833
2168745-2,537794,50785,1.0,0,0,0,0
2168746-2,537794,50785,1.0,0,0,0,0
2168747-2,537794,50785,1.0,0,0,0,0
1278738-110,180,50808,0.0,0,0,0,2168833
1278738-111,180,50808,1.0,0,0,0,2168833
1278738-121,180,50808,1.0,0,0,0,2168833
1278738-124,180,50808,0.0,0,0,0,2168833
1278738-126,180,50808,1.0,0,0,0,2168833
1570719-50,180,50843,1.0,0,0,0,2169019
