idVotacao,voto,deputado_id,deputado_siglaPartido,pardido_id,deputado_siglaUf
117975-129,1,178957,DEM,36769,RR
117975-129,1,178914,PTB,36845,PE
117975-129,1,178890,PT,36844,MG
117975-129,1,178968,PR,36814,SE
117975-129,1,133374,PODE,36896,MG
117975-129,1,178903,PSB,36832,MT
117975-129,1,141372,PR,36814,MG
117975-129,1,160508,PT,36844,BA
117975-129,1,136811,PP,36809,RS
117975-129,1,178835,PDT,36786,RS
117975-129,1,160527,PP,36809,PB
117975-129,1,178836,DEM,36769,AC
117975-129,1,160582,PP,36809,MA
117975-129,1,73579,DEM,36769,DF
117975-129,1,160559,PMDB,36800,RS
117975-129,-1,160511,REDE,36886,RJ
117975-129,-1,178972,PPS,36813,SP
117975-129,1,178875,PODE,36896,GO
117975-129,1,178833,PMDB,36800,RJ
117975-129,1,178936,PR,36814,RJ
117975-129,1,141454,PSL,36837,PR
117975-129,1,178846,PR,36814,AM
117975-129,1,74057,PCdoB,36779,BA
117975-129,-1,178927,REDE,36886,PR
117975-129,1,178937,PMDB,36800,RJ
117975-129,1,178881,PODE,36896,MA
117975-129,0,178973,PT,36844,SP
117975-129,1,178831,PP,36809,AP
117975-129,1,195143,PMDB,36800,PB
117975-129,1,74471,PSD,36834,PE
117975-129,1,133439,PDT,36786,CE
117975-129,1,178974,PT,36844,SP
117975-129,1,178837,PT,36844,AC
117975-129,1,74212,PMDB,36800,CE
117975-129,1,160553,PSD,36834,BA
117975-129,1,141383,PRB,36815,SP
117975-129,1,178950,PODE,36896,RN
117975-129,1,74103,PDT,36786,CE
117975-129,1,73433,PT,36844,SP
117975-129,-1,73434,PTB,36845,SP
117975-129,-1,160602,PPS,36813,PA
117975-129,-1,74833,PSC,36833,RJ
117975-129,1,159237,PT,36844,PI
117975-129,1,74378,PDT,36786,PR
117975-129,1,160581,PCdoB,36779,RS
117975-129,1,74090,PSD,36834,AM
117975-129,1,74459,PSB,36832,PI
117975-129,1,73655,SD,36765,DF
117975-129,1,160665,SD,36765,PE
117975-129,1,69871,PODE,36896,BA
117975-129,1,178975,PMDB,36800,SP
117975-129,1,178834,PSB,36832,BA
117975-129,1,73701,PT,36844,RJ
117975-129,1,74535,PTB,36845,BA
117975-129,1,74040,SD,36765,PB
117975-129,1,178915,PSDB,36835,PE
117975-129,1,141335,PT,36844,PA
117975-129,1,178948,PP,36809,RN
117975-129,1,178906,PP,36809,PA
117975-129,1,141513,PR,36814,MG
117975-129,1,160538,PT,36844,RS
117975-129,1,74650,PSDB,36835,MG
117975-129,1,160589,PSDB,36835,SP
117975-129,1,178999,PR,36814,MG
117975-129,-1,178938,PTdoB,36847,RJ
117975-129,-1,178865,PR,36814,CE
117975-129,1,105112,PMDB,36800,AP
117975-129,1,93083,PP,36809,BA
117975-129,1,178853,PT,36844,BA
117975-129,1,178891,PSDB,36835,MG
117975-129,1,194261,PR,36814,RS
117975-129,1,178829,PR,36814,SP
117975-129,1,178958,PHS,36793,RR
117975-129,1,141401,PMDB,36800,MT
117975-129,1,74474,PDT,36786,PE
117975-129,1,178962,PRB,36815,RS
117975-129,1,178993,PODE,36896,TO
117975-129,1,74163,SD,36765,ES
117975-129,1,178900,PMDB,36800,MS
117975-129,1,74651,DEM,36769,MG
117975-129,1,74262,PSDB,36835,SP
117975-129,1,141398,PT,36844,SP
117975-129,-1,164360,PPS,36813,SC
117975-129,1,178876,PSDB,36835,GO
117975-129,1,73568,PMDB,36800,RJ
117975-129,1,141405,PMDB,36800,SC
117975-129,1,72912,PMDB,36800,RJ
117975-129,1,73441,PRB,36815,SP
117975-129,-1,74171,PSOL,36839,RJ
117975-129,1,141439,PT,36844,RJ
117975-129,1,141440,PCdoB,36779,CE
117975-129,1,178928,PR,36814,PR
117975-129,1,178841,PODE,36896,AL
117975-129,1,141408,PRB,36815,MA
117975-129,1,178848,PP,36809,AM
117975-129,1,178963,PP,36809,RS
117975-129,1,93472,PTB,36845,RJ
117975-129,1,141411,PDT,36786,MS
117975-129,1,74467,PDT,36786,PB
117975-129,1,178892,PSL,36837,MG
117975-129,1,74060,PCdoB,36779,BA
117975-129,1,178916,PSDB,36835,PE
117975-129,1,144523,PMDB,36800,GO
117975-129,1,160528,PSB,36832,PE
117975-129,1,62881,PSB,36832,CE
117975-129,1,160552,PSD,36834,RS
117975-129,1,73891,PMDB,36800,RS
117975-129,1,141413,PT,36844,SC
117975-129,1,196357,PRB,36815,RJ
117975-129,1,178908,PSD,36834,PA
117975-129,1,178893,PR,36814,MG
117975-129,1,160646,SD,36765,PR
117975-129,1,164359,PR,36814,GO
117975-129,1,74172,PTB,36845,RJ
117975-129,1,185500,PDT,36786,MA
117975-129,1,160588,PSD,36834,MG
117975-129,-1,178929,PHS,36793,PR
117975-129,1,73768,PP,36809,PR
117975-129,1,160599,PP,36809,MG
117975-129,1,143632,PSD,36834,CE
117975-129,1,160758,PSDB,36835,MG
117975-129,-1,160643,PHS,36793,ES
117975-129,1,178830,PODE,36896,SP
117975-129,1,178994,PMDB,36800,TO
117975-129,1,141417,PR,36814,RR
117975-129,1,160578,PSD,36834,PR
117975-129,-1,134812,PSOL,36839,PA
117975-129,1,74655,PSDB,36835,MG
117975-129,-1,92346,PSC,36833,SP
117975-129,1,178977,PSDB,36835,SP
117975-129,1,141421,PP,36809,PE
117975-129,1,141422,DEM,36769,PB
117975-129,1,74075,PMDB,36800,PA
117975-129,1,160532,DEM,36769,SP
117975-129,1,181316,PSDB,36835,MS
117975-129,-1,178883,PPS,36813,MA
117975-129,1,178854,DEM,36769,BA
117975-129,1,132504,PT,36844,PR
117975-129,1,160575,PT,36844,DF
117975-129,1,99654,PEN,36761,BA
117975-129,1,160649,PP,36809,SC
117975-129,1,178871,PV,36851,ES
117975-129,-1,178953,PSD,36834,RO
117975-129,1,178941,PODE,36896,RJ
117975-129,1,178905,PSB,36832,MT
117975-129,1,178969,PSD,36834,SE
117975-129,1,171623,PMDB,36800,SE
117975-129,1,178877,PSDB,36835,GO
117975-129,1,66828,PP,36809,SP
117975-129,1,141430,PROS,36763,RJ
117975-129,1,141429,DEM,36769,RN
117975-129,1,160666,PDT,36786,BA
117975-129,1,92699,PP,36809,PE
117975-129,1,160676,PSD,36834,BA
117975-129,1,141434,PMDB,36800,AC
117975-129,-1,178978,PSB,36832,SP
117975-129,1,186775,PP,36809,MG
117975-129,1,129037,PT,36844,MG
117975-129,1,141441,PSB,36832,MG
117975-129,1,178966,PSDB,36835,SC
117975-129,1,74374,PSDB,36835,MS
117975-129,1,74270,PSC,36833,SP
117975-129,1,178878,PSDB,36835,GO
117975-129,-1,74558,PHS,36793,AL
117975-129,1,178872,PT,36844,ES
117975-129,-1,152605,PSOL,36839,RJ
117975-129,1,74419,PSB,36832,PE
117975-129,1,129618,PR,36814,CE
117975-129,1,178980,PSD,36834,SP
117975-129,1,194259,PSDB,36835,PE
117975-129,1,160667,PP,36809,SP
117975-129,1,178964,PSB,36832,RS
117975-129,1,178873,PT,36844,ES
117975-129,1,178909,DEM,36769,PA
117975-129,1,73482,PT,36844,RS
117975-129,1,97707,PSB,36832,PI
117975-129,1,178981,PSD,36834,SP
117975-129,1,73772,PMDB,36800,PR
117975-129,1,160596,PSD,36834,GO
117975-129,1,178884,PMDB,36800,MA
117975-129,1,141450,PSB,36832,RJ
117975-129,1,160674,PMDB,36800,PB
117975-129,1,67138,PP,36809,PI
117975-129,1,81232,PSD,36834,TO
117975-129,1,178855,PSC,36833,BA
117975-129,-1,73531,PSOL,36839,SP
117975-129,1,4931,PSDB,36835,DF
117975-129,1,196378,PSDB,36835,SP
117975-129,-1,74847,PSC,36833,RJ
117975-129,1,74848,PCdoB,36779,RJ
117975-129,1,73926,PSB,36832,AP
117975-129,1,131943,PMDB,36800,PE
117975-129,-1,160672,PSOL,36839,RJ
117975-129,-1,74273,PSD,36834,SP
117975-129,1,160570,PP,36809,RS
117975-129,1,178839,PMDB,36800,AC
117975-129,1,178842,PSB,36832,AL
117975-129,1,160531,PRB,36815,RR
117975-129,1,141503,PCdoB,36779,MG
117975-129,1,160573,PMDB,36800,PR
117975-129,1,74366,PRB,36815,GO
117975-129,1,141458,PR,36814,BA
117975-129,1,178970,PT,36844,SE
117975-129,-1,178965,REDE,36886,RS
117975-129,1,178917,PSB,36832,PE
117975-129,1,178856,PSDB,36835,BA
117975-129,1,112437,PMDB,36800,MA
117975-129,1,178967,PSD,36834,SC
117975-129,1,178988,PSDB,36835,SP
117975-129,1,160571,PSD,36834,SC
117975-129,1,178910,PSD,36834,PA
117975-129,1,194262,PMDB,36800,RS
117975-129,1,178971,PRB,36815,SE
117975-129,1,74388,PP,36809,SC
117975-129,1,160572,PTB,36845,PE
117975-129,0,178857,PT,36844,BA
117975-129,1,73535,DEM,36769,SP
117975-129,1,160509,PR,36814,SC
117975-129,1,141464,PT,36844,CE
117975-129,1,74553,DEM,36769,BA
117975-129,1,74140,PR,36814,BA
117975-129,-1,131966,PMDB,36800,RS
117975-129,1,141470,PT,36844,CE
117975-129,1,74275,PT,36844,SP
