,Unnamed: 0,deputado_id,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,ufNascimento,betweenness_centrality,eigenvecto_centrality
454,7029,160635,54,56,M,PB,0.0,3.9074932244178144e-11
458,7033,160639,54,56,F,GO,0.0,3.9074932244178144e-11
459,7034,160640,54,56,M,MG,0.0,3.9074932244178144e-11
460,7035,160641,54,56,F,AP,0.0,3.9074932244178144e-11
461,7036,160642,54,56,M,SP,0.0,3.9074932244178144e-11
464,7039,160645,54,56,M,AP,0.0,3.9074932244178144e-11
469,7045,160651,54,56,M,SC,0.0,3.9074932244178144e-11
471,7047,160653,54,56,M,SP,0.0,3.9074932244178144e-11
473,7049,160655,54,56,M,SP,0.0,3.9074932244178144e-11
483,7059,160665,54,56,M,PE,0.0,3.9074932244178144e-11
484,7060,160666,54,56,M,BA,0.0,3.9074932244178144e-11
485,7061,160667,54,56,M,PR,0.0,3.9074932244178144e-11
487,7063,160669,54,56,M,CE,0.0,3.9074932244178144e-11
491,7067,160673,54,56,M,RS,0.0,3.9074932244178144e-11
492,7068,160674,54,56,M,PB,0.0,3.9074932244178144e-11
499,7075,160758,54,56,M,MG,0.0,3.9074932244178144e-11
500,7077,160976,54,56,M,CE,0.0,3.9074932244178144e-11
501,7078,161550,56,56,M,MG,0.0,3.9074932244178144e-11
510,7087,162332,54,56,M,PR,0.0,3.9074932244178144e-11
515,7092,164359,54,56,M,PR,0.0,3.9074932244178144e-11
516,7093,164360,54,56,F,SC,0.0,3.9074932244178144e-11
522,7099,166402,54,56,F,SP,0.0,3.9074932244178144e-11
539,7116,171617,54,56,M,AL,0.0,3.9074932244178144e-11
541,7118,171619,54,56,F,MG,0.0,3.9074932244178144e-11
545,7122,171623,54,56,M,SE,0.0,3.9074932244178144e-11
561,7139,177282,54,56,M,MG,0.0,3.9074932244178144e-11
569,7148,178829,55,56,M,SP,0.0,3.9074932244178144e-11
571,7150,178831,55,56,M,PA,0.0,3.9074932244178144e-11
572,7151,178832,55,56,F,PR,0.0,3.9074932244178144e-11
573,7152,178833,55,56,M,RJ,0.0,3.9074932244178144e-11
575,7154,178835,54,56,M,RS,0.0,3.9074932244178144e-11
576,7155,178836,55,56,M,AC,0.0,3.9074932244178144e-11
579,7158,178839,55,56,F,AC,0.0,3.9074932244178144e-11
582,7161,178842,55,56,M,AL,0.0,3.9074932244178144e-11
583,7162,178843,55,56,M,AL,0.0,3.9074932244178144e-11
594,7173,178854,55,56,M,BA,0.0017602998062691473,0.11368174731264515
597,7176,178857,55,56,M,BA,0.0,3.9074932244178144e-11
598,7177,178858,55,56,M,BA,0.0,3.9074932244178144e-11
600,7179,178860,55,56,M,BA,0.0021194757914341817,0.022303825262879762
601,7180,178861,55,56,M,ES,0.001001289640317493,0.10471497393770517
603,7182,178863,55,56,M,DF,0.0,3.9074932244178144e-11
606,7185,178866,55,56,F,CE,0.0,3.9074932244178144e-11
611,7190,178871,55,56,M,ES,0.0,3.9074932244178144e-11
613,7192,178873,55,56,M,ES,0.0,3.9074932244178144e-11
614,7193,178874,55,56,M,ES,0.0,3.9074932244178144e-11
616,7195,178876,55,56,M,GO,0.0,3.9074932244178144e-11
619,7198,178879,55,56,M,GO,0.0,3.9074932244178144e-11
621,7200,178881,55,56,M,MG,0.0,3.9074932244178144e-11
622,7201,178882,55,56,M,MA,0.0,3.9074932244178144e-11
624,7203,178884,55,56,M,MA,0.0,3.9074932244178144e-11
626,7205,178886,55,56,M,MA,0.0,3.9074932244178144e-11
627,7206,178887,55,56,M,MA,0.0,3.9074932244178144e-11
629,7208,178889,55,56,M,MA,0.0,3.9074932244178144e-11
