,Unnamed: 0,deputado_id,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,ufNascimento,betweenness_centrality,eigenvecto_centrality
827,7406,204379,56,56,M,AP,0.0,3.9074932244178144e-11
828,7407,204380,56,56,F,GO,0.0,3.9074932244178144e-11
829,7408,204381,56,56,M,DF,0.0,3.9074932244178144e-11
830,7409,204382,56,56,M,MS,0.0,3.9074932244178144e-11
831,7410,204383,56,56,M,DF,0.0,3.9074932244178144e-11
833,7412,204385,56,56,M,SE,0.0,3.9074932244178144e-11
834,7413,204386,56,56,M,SC,0.0,3.9074932244178144e-11
835,7414,204387,56,56,M,PR,0.0,3.9074932244178144e-11
836,7415,204388,56,56,M,RS,0.0,3.9074932244178144e-11
837,7416,204389,56,56,M,GO,0.0033891114966792487,0.03391313916521207
838,7417,204390,56,56,M,BA,0.0,3.9074932244178144e-11
839,7418,204391,56,56,M,MG,0.0,3.9074932244178144e-11
840,7419,204392,56,56,M,GO,0.0,3.9074932244178144e-11
841,7420,204393,56,56,M,PB,0.0,3.9074932244178144e-11
842,7421,204394,56,56,M,SP,0.0,3.9074932244178144e-11
843,7422,204395,56,56,M,PR,0.0008017610771983883,0.14307030222967393
844,7423,204396,56,56,M,PR,0.0,3.9074932244178144e-11
845,7424,204397,56,56,M,PR,0.0,3.9074932244178144e-11
846,7425,204398,56,56,M,PR,0.0,3.9074932244178144e-11
847,7426,204399,56,56,M,PR,0.0,3.9074932244178144e-11
848,7427,204400,56,56,F,PR,0.0,3.9074932244178144e-11
849,7428,204403,56,56,M,RS,0.0,3.9074932244178144e-11
850,7429,204404,56,56,M,RS,0.0,3.9074932244178144e-11
851,7430,204405,56,56,F,RS,0.0,3.9074932244178144e-11
852,7431,204406,56,56,M,RS,0.0,3.9074932244178144e-11
853,7432,204407,56,56,F,RS,0.0,3.9074932244178144e-11
854,7433,204408,56,56,M,SE,0.0,3.9074932244178144e-11
855,7434,204409,56,56,M,RS,0.0,3.9074932244178144e-11
856,7435,204410,56,56,F,PR,0.0,3.9074932244178144e-11
857,7436,204411,56,56,M,PR,0.0,3.9074932244178144e-11
858,7437,204412,56,56,M,GO,0.0,3.9074932244178144e-11
859,7438,204413,56,56,M,GO,0.0,3.9074932244178144e-11
860,7439,204414,56,56,M,SP,0.0,3.9074932244178144e-11
861,7440,204415,56,56,M,RS,0.0,3.9074932244178144e-11
862,7441,204416,56,56,M,RS,0.0,3.9074932244178144e-11
863,7442,204418,56,56,M,PR,0.0010522313155277943,0.09702606412537824
864,7443,204419,56,56,M,GO,0.0,3.9074932244178144e-11
865,7444,204420,56,56,M,PB,0.0,3.9074932244178144e-11
866,7445,204421,56,56,F,BA,0.0,3.9074932244178144e-11
867,7446,204422,56,56,M,RJ,0.0,3.9074932244178144e-11
868,7447,204423,56,56,M,PE,0.0,3.9074932244178144e-11
869,7448,204425,56,56,M,PE,0.0,3.9074932244178144e-11
870,7449,204426,56,56,M,PE,0.0,3.9074932244178144e-11
871,7450,204427,56,56,M,PE,0.0,3.9074932244178144e-11
872,7451,204428,56,56,F,PE,0.0,3.9074932244178144e-11
873,7452,204429,56,56,M,PE,0.0,3.9074932244178144e-11
874,7453,204430,56,56,F,PI,0.0006112861286126646,0.07610944033751979
875,7454,204431,56,56,M,PI,0.0,3.9074932244178144e-11
876,7455,204432,56,56,F,PI,0.0,3.9074932244178144e-11
877,7456,204433,56,56,M,RJ,0.0,3.9074932244178144e-11
878,7457,204434,56,56,F,SP,0.0,3.9074932244178144e-11
879,7458,204435,56,56,M,AC,0.0,3.9074932244178144e-11
880,7459,204436,56,56,M,AL,0.0,3.9074932244178144e-11
881,7460,204437,56,56,M,AL,0.0,3.9074932244178144e-11
882,7461,204438,56,56,M,AL,0.0,3.9074932244178144e-11
883,7462,204439,56,56,M,GO,0.0,3.9074932244178144e-11
884,7463,204440,56,56,M,RJ,0.0,3.9074932244178144e-11
885,7464,204441,56,56,M,RJ,0.0,3.9074932244178144e-11
886,7465,204442,56,56,M,RJ,0.0,3.9074932244178144e-11
888,7467,204444,56,56,M,RJ,0.0,3.9074932244178144e-11
890,7469,204446,56,56,M,RJ,0.0,3.9074932244178144e-11
891,7470,204447,56,56,F,RJ,0.0,3.9074932244178144e-11
892,7471,204448,56,56,M,RJ,0.0,3.9074932244178144e-11
893,7472,204449,56,56,M,SP,0.0,3.9074932244178144e-11
894,7473,204450,56,56,M,RJ,0.0,3.9074932244178144e-11
895,7474,204451,56,56,M,RJ,0.0,3.9074932244178144e-11
896,7475,204452,56,56,M,RJ,0.0,3.9074932244178144e-11
897,7476,204453,56,56,F,RN,0.0,3.9074932244178144e-11
898,7477,204454,56,56,M,RJ,0.0,3.9074932244178144e-11
899,7478,204455,56,56,M,RJ,0.0,3.9074932244178144e-11
900,7479,204456,56,56,M,RJ,0.0,3.9074932244178144e-11
901,7480,204457,56,56,M,RJ,0.0,3.9074932244178144e-11
902,7481,204458,56,56,F,RJ,0.0,3.9074932244178144e-11
903,7482,204459,56,56,F,RJ,0.0,3.9074932244178144e-11
904,7483,204460,56,56,M,RJ,0.0,3.9074932244178144e-11
905,7484,204461,56,56,M,RJ,0.0,3.9074932244178144e-11
906,7485,204462,56,56,F,RJ,0.0,3.9074932244178144e-11
907,7486,204463,56,56,M,RJ,0.0,3.9074932244178144e-11
908,7487,204464,56,56,F,RJ,0.0,3.9074932244178144e-11
909,7488,204465,56,56,M,MG,0.0,3.9074932244178144e-11
910,7489,204466,56,56,F,AL,0.0,3.9074932244178144e-11
911,7490,204467,56,56,F,BA,0.0,3.9074932244178144e-11
912,7491,204468,56,56,F,RR,0.0,3.9074932244178144e-11
913,7492,204469,56,56,M,CE,0.0,3.9074932244178144e-11
914,7493,204471,56,56,F,AC,0.0,3.9074932244178144e-11
915,7494,204472,56,56,M,RN,0.0,3.9074932244178144e-11
916,7495,204473,56,56,M,CE,0.0,3.9074932244178144e-11
917,7496,204474,56,56,M,PR,0.0,3.9074932244178144e-11
918,7497,204475,56,56,M,AM,0.0,3.9074932244178144e-11
919,7498,204476,56,56,M,RJ,0.0025193746458048475,0.11736258135191431
920,7499,204477,56,56,M,RJ,0.0,3.9074932244178144e-11
921,7500,204478,56,56,M,RJ,0.0,3.9074932244178144e-11
922,7501,204479,56,56,M,RS,0.0,3.9074932244178144e-11
923,7502,204480,56,56,M,MG,0.00022604169006394434,0.015378915246679292
924,7503,204481,56,56,M,CE,0.0,3.9074932244178144e-11
925,7504,204482,56,56,M,MG,0.0,3.9074932244178144e-11
926,7505,204483,56,56,M,MG,0.0,3.9074932244178144e-11
927,7506,204484,56,56,M,SP,0.0,3.9074932244178144e-11
928,7507,204485,56,56,M,SP,0.0,3.9074932244178144e-11
929,7508,204486,56,56,M,CE,0.007948026070860831,0.30773650124254526
930,7509,204487,56,56,M,SP,0.0,3.9074932244178144e-11
931,7510,204488,56,56,M,CE,0.0,3.9074932244178144e-11
932,7511,204489,56,56,M,CE,0.0,3.9074932244178144e-11
933,7512,204490,56,56,M,MG,0.0,3.9074932244178144e-11
934,7513,204491,56,56,M,SP,0.0,3.9074932244178144e-11
