idVotacao,voto,deputado_id,deputado_siglaPartido,pardido_id,deputado_siglaUf
109150-238,-1.0,178957,DEM,36769,RR
109150-238,-1.0,178864,PP,36809,CE
109150-238,-1.0,178914,AVANTE,36847,PE
109150-238,0.0,178890,PT,36844,MG
109150-238,-1.0,178968,PR,36814,SE
109150-238,-1.0,133374,PODE,36896,MG
109150-238,-1.0,178903,PRB,36815,MT
109150-238,0.0,160508,PT,36844,BA
109150-238,-1.0,136811,PP,36809,RS
109150-238,-1.0,178835,PDT,36786,RS
109150-238,-1.0,160527,PP,36809,PB
109150-238,-1.0,178836,DEM,36769,AC
109150-238,-1.0,160582,PP,36809,MA
109150-238,-1.0,73579,DEM,36769,DF
109150-238,-1.0,160559,PMDB,36800,RS
109150-238,0.0,160511,PSB,36832,RJ
109150-238,-1.0,73458,PTB,36845,PR
109150-238,-1.0,178972,PPS,36813,SP
109150-238,-1.0,178833,PMDB,36800,RJ
109150-238,-1.0,178936,PR,36814,RJ
109150-238,-1.0,141454,PSL,36837,PR
109150-238,0.0,178927,PSB,36832,PR
109150-238,-1.0,178937,PMDB,36800,RJ
109150-238,-1.0,178881,PODE,36896,MA
109150-238,0.0,178973,PT,36844,SP
109150-238,-1.0,178831,PP,36809,AP
109150-238,1.0,195143,PROS,36763,PB
109150-238,-1.0,133439,PDT,36786,CE
109150-238,0.0,178974,PT,36844,SP
109150-238,0.0,178837,PT,36844,AC
109150-238,-1.0,74212,PMDB,36800,CE
109150-238,0.0,160553,PSD,36834,BA
109150-238,-1.0,160530,PSDB,36835,BA
109150-238,-1.0,74103,PDT,36786,CE
109150-238,-1.0,160602,PPS,36813,PA
109150-238,-1.0,74833,PSC,36833,RJ
109150-238,-1.0,160541,PP,36809,AL
109150-238,0.0,159237,PT,36844,PI
109150-238,-1.0,74378,PDT,36786,PR
109150-238,-1.0,74090,PSD,36834,AM
109150-238,-1.0,74459,PSB,36832,PI
109150-238,-1.0,73655,SD,36765,DF
109150-238,1.0,160665,SD,36765,PE
109150-238,-1.0,160512,SD,36765,RJ
109150-238,1.0,69871,PODE,36896,BA
109150-238,-1.0,178975,PMDB,36800,SP
109150-238,0.0,73701,PT,36844,RJ
109150-238,-1.0,74535,PTB,36845,BA
109150-238,-1.0,178915,PSDB,36835,PE
109150-238,0.0,141335,PT,36844,PA
109150-238,-1.0,73437,PRB,36815,SP
109150-238,0.0,160538,PT,36844,RS
109150-238,-1.0,74650,PSDB,36835,MG
109150-238,-1.0,178999,PR,36814,MG
109150-238,-1.0,141394,PSDB,36835,PE
109150-238,-1.0,178865,PR,36814,CE
109150-238,-1.0,105112,PMDB,36800,AP
109150-238,0.0,178853,PT,36844,BA
109150-238,-1.0,178891,PSDB,36835,MG
109150-238,-1.0,178829,PR,36814,SP
109150-238,-1.0,74474,PDT,36786,PE
109150-238,-1.0,178962,PRB,36815,RS
109150-238,-1.0,178993,PODE,36896,TO
109150-238,-1.0,74163,SD,36765,ES
109150-238,-1.0,73934,PSDB,36835,AM
109150-238,0.0,141398,PT,36844,SP
109150-238,-1.0,164360,PPS,36813,SC
109150-238,-1.0,178876,PSDB,36835,GO
109150-238,-1.0,73441,PRB,36815,SP
109150-238,-1.0,160576,PRB,36815,TO
109150-238,0.0,178838,PSB,36832,AC
109150-238,-1.0,73720,PSD,36834,SC
109150-238,0.0,74171,PSOL,36839,RJ
109150-238,0.0,141439,PT,36844,RJ
109150-238,-1.0,178928,PR,36814,PR
109150-238,-1.0,74537,DEM,36769,BA
109150-238,-1.0,141408,PRB,36815,MA
109150-238,-1.0,178848,PP,36809,AM
109150-238,-1.0,178963,PP,36809,RS
109150-238,0.0,194258,PSB,36832,PE
109150-238,-1.0,74467,PDT,36786,PB
109150-238,0.0,74060,PCdoB,36779,BA
109150-238,-1.0,178916,PSDB,36835,PE
109150-238,-1.0,144523,PMDB,36800,GO
109150-238,0.0,160528,PSB,36832,PE
109150-238,-1.0,62881,DEM,36769,CE
109150-238,1.0,160552,PSD,36834,RS
109150-238,-1.0,73891,PMDB,36800,RS
109150-238,0.0,101309,PCdoB,36779,BA
109150-238,-1.0,196357,PRB,36815,RJ
109150-238,-1.0,178908,PSD,36834,PA
109150-238,-1.0,178893,PR,36814,MG
109150-238,-1.0,160646,SD,36765,PR
109150-238,-1.0,164359,PR,36814,GO
109150-238,1.0,74172,PTB,36845,RJ
109150-238,-1.0,185500,PDT,36786,MA
109150-238,-1.0,178929,S.PART.,36852,PR
109150-238,-1.0,73768,PP,36809,PR
109150-238,-1.0,160758,PSDB,36835,MG
109150-238,0.0,160643,PHS,36793,ES
109150-238,-1.0,178994,PMDB,36800,TO
109150-238,-1.0,141417,PR,36814,RR
109150-238,1.0,160578,PSD,36834,PR
109150-238,-1.0,74655,PSDB,36835,MG
109150-238,-1.0,92346,PSC,36833,SP
109150-238,-1.0,178977,PSDB,36835,SP
109150-238,-1.0,141421,PP,36809,PE
109150-238,-1.0,178883,PPS,36813,MA
109150-238,-1.0,178854,DEM,36769,BA
109150-238,0.0,132504,PT,36844,PR
109150-238,-1.0,99654,PEN,36761,BA
109150-238,1.0,160649,PP,36809,SC
109150-238,-1.0,178871,PV,36851,ES
109150-238,1.0,178953,PSD,36834,RO
109150-238,-1.0,178904,PP,36809,MT
109150-238,-1.0,178941,PODE,36896,RJ
109150-238,-1.0,178969,PSD,36834,SE
109150-238,-1.0,171623,PMDB,36800,SE
109150-238,-1.0,178877,PSDB,36835,GO
109150-238,1.0,160587,PSD,36834,MS
109150-238,-1.0,66828,PP,36809,SP
109150-238,-1.0,141429,DEM,36769,RN
109150-238,-1.0,92699,PP,36809,PE
109150-238,-1.0,160598,PDT,36786,GO
109150-238,0.0,178978,PSB,36832,SP
109150-238,-1.0,178907,PODE,36896,PA
109150-238,-1.0,160677,DEM,36769,RJ
109150-238,-1.0,186775,PP,36809,MG
109150-238,-1.0,178966,PSDB,36835,SC
109150-238,1.0,74374,PSDB,36835,MS
109150-238,0.0,178872,PT,36844,ES
109150-238,0.0,152605,PSOL,36839,RJ
109150-238,0.0,74419,PSB,36832,PE
109150-238,-1.0,178980,PSD,36834,SP
109150-238,-1.0,160667,PP,36809,SP
109150-238,0.0,178964,PSB,36832,RS
109150-238,0.0,178873,PT,36844,ES
109150-238,-1.0,178909,DEM,36769,PA
109150-238,0.0,73482,PT,36844,RS
109150-238,-1.0,97707,DEM,36769,PI
109150-238,-1.0,178981,PSD,36834,SP
109150-238,-1.0,73772,PMDB,36800,PR
109150-238,-1.0,160596,PSD,36834,GO
109150-238,1.0,178884,PMDB,36800,MA
109150-238,-1.0,178959,PP,36809,RR
109150-238,-1.0,178849,PDT,36786,AM
109150-238,-1.0,160674,PMDB,36800,PB
109150-238,-1.0,67138,PP,36809,PI
109150-238,-1.0,81232,PSD,36834,TO
109150-238,1.0,178855,PSC,36833,BA
109150-238,0.0,73531,PSOL,36839,SP
109150-238,-1.0,4931,PSDB,36835,DF
