id,idOrgao,idEvento,aprovacao,votosSim,votosNao,votosOutros,ultimaApresentacaoProposicao_idProposicao
2076668-2,537732,42847,1,0,0,0,0
2076671-2,537732,42847,1,0,0,0,0
2076675-2,537732,42847,1,0,0,0,0
2076680-5,180,42883,1,0,0,0,0
1738686-71,180,42884,1,0,0,0,2074480
2057965-18,4,42895,1,0,0,0,0
2057350-2,537622,42893,1,0,0,0,0
2057539-2,537622,42893,1,0,0,0,0
2075950-2,537622,42893,1,0,0,0,0
2076416-2,537622,42893,1,0,0,0,0
2076686-4,180,42883,1,0,0,0,0
2076681-5,180,42883,1,0,0,0,0
2076792-2,180,42883,1,0,0,0,0
1738686-32,180,42883,0,64,205,60,2074480
1738686-35,180,42883,0,0,0,0,2074480
1738686-40,180,42883,1,0,0,0,2074480
1738686-47,180,42883,0,0,0,0,2074480
1738686-48,180,42883,0,0,0,0,2074480
1738686-50,180,42883,1,0,0,0,2074480
1738686-54,180,42883,0,0,0,0,2074480
1738686-57,180,42883,1,205,176,23,2074480
1738686-63,180,42884,0,141,223,5,2074480
1738686-66,180,42884,0,0,0,0,2074480
1738686-69,180,42884,0,0,0,0,2074480
2057062-2,537385,42826,1,0,0,0,0
2077153-4,180,42920,1,0,0,0,0
1806553-38,180,42920,0,37,267,54,2075126
1806553-40,180,42920,0,0,0,0,2075126
1806553-46,180,42920,0,0,0,0,2075126
2074741-2,537765,42903,1,0,0,0,0
2074742-2,537765,42903,1,0,0,0,0
2077074-2,537765,42903,1,0,0,0,0
2077075-2,537765,42903,1,0,0,0,0
2077076-2,537765,42903,1,0,0,0,0
2077079-2,537765,42903,1,0,0,0,0
2077080-2,537765,42903,1,0,0,0,0
2057036-2,537385,42826,1,0,0,0,0
2057037-2,537385,42826,1,0,0,0,0
2057061-2,537385,42826,1,0,0,0,0
2057266-2,537385,42826,1,0,0,0,0
2075771-2,537385,42826,1,0,0,0,0
2077081-2,537385,42826,1,0,0,0,0
2077082-2,537385,42826,1,0,0,0,0
1806553-52,180,42924,0,63,301,78,2075126
1806553-55,180,42924,0,0,0,0,2075126
1806553-60,180,42924,1,0,0,0,2075126
1806553-62,180,42924,1,0,0,0,2075126
1806553-65,180,42924,1,0,0,0,2075126
1806553-66,180,42924,1,0,0,0,2075126
1806553-67,180,42924,1,0,0,0,2075126
1806553-68,180,42924,0,0,0,0,2075126
1806553-70,180,42924,1,280,157,2,2075126
1806553-78,180,42924,1,280,150,2,2075126
1806553-81,180,42924,1,246,122,1,2075126
1806553-85,180,42924,1,0,0,0,2075126
1806553-87,180,42924,1,0,0,0,2075126
1806553-89,180,42924,1,0,0,0,2075126
2058571-2,537792,42919,1,0,0,0,0
2074904-2,537792,42919,1,0,0,0,0
2074905-2,537792,42919,1,0,0,0,0
2075603-2,537792,42919,1,0,0,0,0
2076590-2,537792,42919,1,0,0,0,0
2076803-2,537792,42919,1,0,0,0,0
2077214-2,537792,42919,1,0,0,0,0
2077215-2,537792,42919,1,0,0,0,0
2077217-2,537792,42919,1,0,0,0,0
2077218-2,537792,42919,1,0,0,0,0
2077219-2,537792,42919,1,0,0,0,0
2077220-2,537792,42919,1,0,0,0,0
2077221-2,537792,42919,1,0,0,0,0
2077223-2,537792,42919,1,0,0,0,0
2077225-2,537792,42919,1,0,0,0,0
2077227-2,537792,42919,1,0,0,0,0
2077228-2,537792,42919,1,0,0,0,0
2077229-2,537792,42919,1,0,0,0,0
2077230-2,537792,42919,1,0,0,0,0
2077231-2,537792,42919,1,0,0,0,0
2077233-2,537792,42919,1,0,0,0,0
2077234-2,537792,42919,1,0,0,0,0
2077236-2,537792,42919,1,0,0,0,0
2077238-2,537792,42919,1,0,0,0,0
2077240-2,537792,42919,1,0,0,0,0
2077241-2,537792,42919,1,0,0,0,0
2077242-2,537792,42919,1,0,0,0,0
2077243-2,537792,42919,1,0,0,0,0
