id,idOrgao,idEvento,aprovacao,votosSim,votosNao,votosOutros,ultimaApresentacaoProposicao_idProposicao
2077499-15,180,46271,1,314,17,5,0
2120049-5,180,46271,1,0,0,0,0
2117352-7,180,46271,1,0,0,0,0
2110703-16,180,46277,1,0,0,0,0
2119929-3,537931,46185,1,0,0,0,0
592763-18,180,46277,1,0,0,0,0
2091285-14,180,46277,0,41,297,2,0
2093451-19,180,46277,0,227,75,3,0
2110076-11,180,46277,1,0,0,0,0
1734739-105,180,46277,0,0,0,0,2054623
1734739-110,180,46277,1,402,0,3,2054623
538196-136,180,46277,1,0,0,0,2112849
538196-139,180,46277,0,0,0,0,2112849
538196-141,180,46277,1,0,0,0,2112849
2122768-2,537914,46274,1,0,0,0,0
2122787-2,537914,46274,1,0,0,0,0
2122635-5,180,46282,1,0,0,0,0
1278869-44,180,46282,1,0,0,0,0
2114000-8,4,46281,1,0,0,0,2120692
2114001-8,4,46281,1,0,0,0,2120693
2114002-8,4,46281,1,0,0,0,2120694
2114003-8,4,46281,1,0,0,0,2120695
2114004-8,4,46281,1,0,0,0,2120696
2114005-8,4,46281,1,0,0,0,2120697
2114006-8,4,46281,1,0,0,0,2120698
2114007-8,4,46281,1,0,0,0,2120699
2114008-8,4,46281,1,0,0,0,2120700
2114009-8,4,46281,1,0,0,0,2120701
2114010-8,4,46281,1,0,0,0,2120702
2114011-8,4,46281,1,0,0,0,2120703
2114012-8,4,46281,1,0,0,0,2120704
2114013-8,4,46281,1,0,0,0,2120705
2114014-8,4,46281,1,0,0,0,2120706
2114015-8,4,46281,1,0,0,0,2120707
2114016-8,4,46281,1,0,0,0,2120708
2114017-8,4,46281,1,0,0,0,2120709
2114018-8,4,46281,1,0,0,0,2120710
2114019-8,4,46281,1,0,0,0,2120711
2117795-10,4,46281,1,0,0,0,2120805
2117817-8,4,46281,1,0,0,0,2120818
2117818-8,4,46281,1,0,0,0,2120819
2117822-8,4,46281,1,0,0,0,2120820
2117827-8,4,46281,1,0,0,0,2120821
2117828-8,4,46281,1,0,0,0,2120822
2117830-8,4,46281,1,0,0,0,2120823
2117832-11,4,46281,1,0,0,0,2120824
2117833-8,4,46281,1,0,0,0,2120825
2117835-8,4,46281,1,0,0,0,2120826
2117836-8,4,46281,1,0,0,0,2120827
2117837-8,4,46281,1,0,0,0,2120828
2117838-8,4,46281,1,0,0,0,2120830
2117840-8,4,46281,1,0,0,0,2120831
2117841-8,4,46281,1,0,0,0,2120832
2117842-8,4,46281,1,0,0,0,2120833
2117843-8,4,46281,1,0,0,0,2120834
2117845-8,4,46281,1,0,0,0,2120835
2117846-8,4,46281,1,0,0,0,2120836
2117847-8,4,46281,1,0,0,0,2120837
2117848-8,4,46281,1,0,0,0,2120838
2117849-9,4,46281,1,0,0,0,2120839
2117856-8,4,46281,1,0,0,0,2120840
2117858-8,4,46281,1,0,0,0,2120841
2120398-9,4,46281,1,0,0,0,2121158
2121953-26,4,46281,1,0,0,0,2122752
2121968-26,4,46281,1,0,0,0,2122753
2122497-28,4,46281,1,0,0,0,2122760
2122499-26,4,46281,1,0,0,0,2122759
2122533-29,4,46281,1,0,0,0,2122758
2122137-28,4,46281,1,0,0,0,2122755
2087232-35,180,46282,1,0,0,0,2123195
2087232-37,180,46282,1,0,0,0,2123195
1049235-43,180,46282,1,0,0,0,0
1049235-45,180,46282,1,0,0,0,0
1171668-40,180,46282,1,0,0,0,0
1171668-42,180,46282,1,0,0,0,0
1199823-38,180,46282,1,0,0,0,0
1199823-39,180,46282,1,0,0,0,0
1229519-49,180,46282,1,0,0,0,0
1229519-51,180,46282,1,0,0,0,0
1278866-39,180,46282,1,0,0,0,0
1278866-40,180,46282,1,0,0,0,0
1278869-42,180,46282,1,0,0,0,0
1278872-40,180,46282,1,0,0,0,0
1278872-42,180,46282,1,0,0,0,0
1514104-38,180,46282,1,0,0,0,0
1514104-40,180,46282,1,0,0,0,0
1514277-53,180,46282,1,0,0,0,0
