id,idOrgao,idEvento,aprovacao,votosSim,votosNao,votosOutros,ultimaApresentacaoProposicao_idProposicao
2216912-2,2014,56899,1.0,0,0,0,0
2217168-2,2014,56899,1.0,0,0,0,0
2217224-3,2014,56899,1.0,0,0,0,0
2217236-2,2014,56899,1.0,0,0,0,0
2217237-2,2014,56899,1.0,0,0,0,0
2217268-2,2014,56899,1.0,0,0,0,0
2217340-2,2014,56899,1.0,0,0,0,0
2199300-27,2014,56899,1.0,0,0,0,2210197
2196991-24,2014,56899,1.0,0,0,0,2209904
2203155-27,2014,56899,1.0,0,0,0,2209036
2163150-53,2003,57105,1.0,0,0,0,2216440
2217289-3,2006,57002,1.0,0,0,0,0
2217305-2,2006,57002,1.0,0,0,0,0
2217306-2,2006,57002,1.0,0,0,0,0
2217368-2,2006,57002,1.0,0,0,0,0
2216525-2,2012,56985,1.0,0,0,0,0
2216864-2,2012,56985,1.0,0,0,0,0
2217419-2,2012,56985,1.0,0,0,0,0
2217335-2,2012,56985,1.0,0,0,0,0
2217260-2,2012,56985,1.0,0,0,0,0
2216885-2,2015,57003,1.0,0,0,0,0
2217195-2,2015,57003,1.0,0,0,0,0
2217196-2,2015,57003,1.0,0,0,0,0
2217197-2,2015,57003,1.0,0,0,0,0
2216033-2,2001,56972,1.0,0,0,0,0
2216035-2,2001,56972,1.0,0,0,0,0
2216091-2,2001,56972,1.0,0,0,0,0
2217012-2,2001,56972,1.0,0,0,0,0
2217216-2,2001,56972,1.0,0,0,0,0
2217263-2,2001,56972,1.0,0,0,0,0
2217265-2,2001,56972,1.0,0,0,0,0
2217293-2,2001,56972,1.0,0,0,0,0
2216829-2,2008,56989,1.0,0,0,0,0
2217346-2,2008,56989,1.0,0,0,0,0
2217406-2,2008,56989,1.0,0,0,0,0
1701001-78,2006,57002,1.0,0,0,0,2209745
2217339-2,2017,56979,1.0,0,0,0,0
2190490-26,2001,56972,1.0,0,0,0,2209401
2213453-2,2017,56979,1.0,0,0,0,0
2217392-2,2017,56979,1.0,0,0,0,0
2217382-2,2016,57054,1.0,0,0,0,0
2217171-3,537871,56988,1.0,0,0,0,0
2216949-2,537236,57056,1.0,0,0,0,0
2217227-3,537871,56988,1.0,0,0,0,0
2217386-4,537871,56988,1.0,0,0,0,0
2217387-4,537871,56988,1.0,0,0,0,0
2217390-5,537871,56988,1.0,0,0,0,0
2177634-28,537236,57056,0.0,0,0,0,2215170
2177634-34,537236,57056,1.0,0,0,0,2215170
2217363-2,537870,56987,1.0,0,0,0,0
2217435-2,537870,56987,1.0,0,0,0,0
2217111-3,537870,56987,1.0,0,0,0,0
2216865-2,537480,57046,1.0,0,0,0,0
2175563-53,5503,56990,1.0,0,0,0,0
2216441-2,6066,56999,1.0,0,0,0,0
2216442-2,6066,56999,1.0,0,0,0,0
2217378-4,5503,56990,1.0,0,0,0,0
2213177-4,536996,56995,1.0,0,0,0,0
2190897-35,5503,56990,1.0,0,4,0,0
2216213-2,538484,56877,1.0,0,0,0,0
2216215-2,538484,56877,1.0,0,0,0,0
2216216-2,538484,56877,1.0,0,0,0,0
2216217-2,538484,56877,1.0,0,0,0,0
2216219-2,538484,56877,1.0,0,0,0,0
2217229-2,538484,56877,1.0,0,0,0,0
2207385-2,538435,57124,1.0,0,0,0,0
2216715-2,538435,57124,1.0,0,0,0,0
2217606-2,538435,57124,1.0,0,0,0,0
2217757-2,538435,57124,1.0,0,0,0,0
2216716-2,538435,57124,1.0,0,0,0,0
2216717-2,538435,57124,1.0,0,0,0,0
2217758-2,538435,57124,1.0,0,0,0,0
2217759-2,538435,57124,1.0,0,0,0,0
2217760-2,538435,57124,1.0,0,0,0,0
2217761-2,538435,57124,1.0,0,0,0,0
2214604-2,538546,57165,1.0,0,0,0,0
