idVotacao,voto,deputado_id,deputado_siglaPartido,pardido_id,deputado_siglaUf
1063052-105,-1,178854,DEM,36769,BA
1063052-105,1,132504,PT,36844,PR
1063052-105,1,160575,PT,36844,DF
1063052-105,1,99654,PEN,36761,BA
1063052-105,1,160640,PROS,36763,MG
1063052-105,0,160649,PP,36809,SC
1063052-105,1,178871,PV,36851,ES
1063052-105,1,178930,PSD,36834,PR
1063052-105,1,178953,PSD,36834,RO
1063052-105,1,178941,PTN,36848,RJ
1063052-105,1,178905,PSB,36832,MT
1063052-105,1,178969,PSD,36834,SE
1063052-105,1,141427,PMDB,36800,MG
1063052-105,1,171623,PMDB,36800,SE
1063052-105,1,178877,PSDB,36835,GO
1063052-105,1,66828,PP,36809,SP
1063052-105,1,141430,PROS,36763,RJ
1063052-105,1,141429,DEM,36769,RN
1063052-105,1,160666,PDT,36786,BA
1063052-105,1,141431,PSB,36832,PE
1063052-105,1,163831,PMDB,36800,RJ
1063052-105,1,92699,PP,36809,PE
1063052-105,1,160676,PSD,36834,BA
1063052-105,1,160598,PDT,36786,GO
1063052-105,1,141434,PMDB,36800,AC
1063052-105,1,178978,PSB,36832,SP
1063052-105,1,191923,PDT,36786,PI
1063052-105,1,178907,PTN,36848,PA
1063052-105,1,160677,DEM,36769,RJ
1063052-105,1,186775,PP,36809,MG
1063052-105,1,129037,PT,36844,MG
1063052-105,0,160669,SD,36765,CE
1063052-105,1,178966,PSDB,36835,SC
1063052-105,1,74374,PMDB,36800,MS
1063052-105,1,74270,PSC,36833,SP
1063052-105,1,160673,PDT,36786,RS
1063052-105,1,178878,PSDB,36835,GO
1063052-105,1,74558,PHS,36793,AL
1063052-105,1,178872,PT,36844,ES
1063052-105,1,152605,PSOL,36839,RJ
1063052-105,1,74419,PSB,36832,PE
1063052-105,1,178980,PSD,36834,SP
1063052-105,1,178873,PT,36844,ES
1063052-105,1,178909,DEM,36769,PA
1063052-105,1,73482,PT,36844,RS
1063052-105,-1,97707,PSB,36832,PI
1063052-105,1,178981,PSD,36834,SP
1063052-105,1,160596,PSD,36834,GO
1063052-105,1,178884,PMDB,36800,MA
1063052-105,1,178959,PP,36809,RR
1063052-105,1,178849,PDT,36786,AM
1063052-105,1,141450,PSB,36832,RJ
1063052-105,1,160674,PMDB,36800,PB
1063052-105,1,67138,PP,36809,PI
1063052-105,-1,81232,PSD,36834,TO
1063052-105,1,178855,PSC,36833,BA
1063052-105,1,73531,PSOL,36839,SP
1063052-105,1,4931,PSDB,36835,DF
1063052-105,1,74847,PSC,36833,RJ
1063052-105,1,74848,PCdoB,36779,RJ
1063052-105,1,73926,PSB,36832,AP
1063052-105,1,74273,PSD,36834,SP
1063052-105,-1,160570,PP,36809,RS
1063052-105,1,178839,PMDB,36800,AC
1063052-105,1,178842,PSB,36832,AL
1063052-105,1,160531,PRB,36815,RR
1063052-105,1,141503,PCdoB,36779,MG
1063052-105,1,160573,PMDB,36800,PR
1063052-105,1,74366,PRB,36815,GO
1063052-105,1,141458,PR,36814,BA
1063052-105,1,74445,PSDB,36835,MA
1063052-105,1,178970,PT,36844,SE
1063052-105,1,178965,REDE,36886,RS
1063052-105,1,178917,PSB,36832,PE
1063052-105,1,178856,PSDB,36835,BA
1063052-105,1,112437,PMDB,36800,MA
1063052-105,1,178988,PSDB,36835,SP
1063052-105,1,160571,PSD,36834,SC
1063052-105,1,178910,PSD,36834,PA
1063052-105,1,160572,PTB,36845,PE
1063052-105,-1,73535,DEM,36769,SP
1063052-105,-1,74553,DEM,36769,BA
1063052-105,-1,74140,PR,36814,BA
1063052-105,1,141470,PT,36844,CE
1063052-105,1,74275,PT,36844,SP
1063052-105,-1,160619,PSD,36834,BA
1063052-105,1,74079,PMDB,36800,PA
1063052-105,1,73714,PSB,36832,MA
1063052-105,1,160607,PSB,36832,RS
1063052-105,1,114941,PMDB,36800,TO
1063052-105,1,74351,PTB,36845,PA
1063052-105,1,178851,PTN,36848,AP
1063052-105,1,67312,PSC,36833,PA
1063052-105,1,74317,PSD,36834,PI
1063052-105,1,74253,PP,36809,RJ
1063052-105,1,178885,PEN,36761,MA
1063052-105,1,178886,DEM,36769,MA
1063052-105,1,74570,PSDB,36835,BA
1063052-105,1,178918,PMDB,36800,PE
1063052-105,1,160659,PSB,36832,SP
1063052-105,-1,151208,SD,36765,SE
1063052-105,1,141478,PR,36814,DF
1063052-105,1,178894,SD,36765,MG
1063052-105,1,74856,PMDB,36800,RJ
1063052-105,1,141480,PP,36809,TO
1063052-105,1,178832,PV,36851,PR
1063052-105,1,141562,PMDB,36800,ES
1063052-105,1,178825,PT,36844,AC
1063052-105,1,74156,PT,36844,MG
1063052-105,1,74254,PMDB,36800,RJ
1063052-105,1,141482,PMDB,36800,MG
1063052-105,1,74299,PDT,36786,CE
1063052-105,1,160663,PSB,36832,PR
1063052-105,1,74585,PRB,36815,MG
1063052-105,1,74277,PSDB,36835,SP
1063052-105,1,160628,PCdoB,36779,PE
1063052-105,1,178954,PMDB,36800,RO
1063052-105,1,141484,PR,36814,PA
1063052-105,-1,94931,PMDB,36800,BA
1063052-105,-1,73483,PP,36809,RS
1063052-105,1,141485,PTB,36845,RS
1063052-105,1,73778,PSDB,36835,PR
1063052-105,1,178802,PTN,36848,RJ
1063052-105,1,178955,PR,36814,RO
1063052-105,1,74041,PT,36844,PB
1063052-105,1,141487,PP,36809,MG
1063052-105,1,178982,PSB,36832,SP
1063052-105,1,74688,PT,36844,RJ
1063052-105,1,74784,PSOL,36839,SP
1063052-105,1,178867,PP,36809,CE
1063052-105,1,151965,PP,36809,PI
1063052-105,-1,178826,SD,36765,SP
1063052-105,1,160633,DEM,36769,MS
1063052-105,1,141490,PMDB,36800,PB
1063052-105,1,160565,PSDB,36835,SP
1063052-105,1,160660,DEM,36769,SP
1063052-105,1,178932,PP,36809,PR
1063052-105,1,76287,PHS,36793,RJ
1063052-105,1,118594,PRB,36815,SP
1063052-105,1,178983,PR,36814,SP
1063052-105,1,150418,PRB,36815,BA
1063052-105,1,133373,PT,36844,RS
1063052-105,1,160536,PSDB,36835,SC
1063052-105,1,178880,PPS,36813,GO
1063052-105,1,141500,PSD,36834,MG
1063052-105,1,178850,PMDB,36800,AM
1063052-105,1,178943,DEM,36769,RJ
1063052-105,1,159238,PSDB,36835,MG
1063052-105,1,74235,PP,36809,ES
1063052-105,1,171619,PT,36844,MG
1063052-105,1,74398,PT,36844,RS
1063052-105,1,64960,PSB,36832,RR
1063052-105,1,178956,PSDB,36835,RO
1063052-105,1,178919,PSB,36832,PE
1063052-105,1,74158,PDT,36786,MG
1063052-105,1,178858,PP,36809,BA
1063052-105,1,178843,PMDB,36800,AL
1063052-105,1,74050,PR,36814,AL
1063052-105,1,141507,PMDB,36800,SC
1063052-105,1,124411,PMDB,36800,RS
1063052-105,1,178827,PSDB,36835,ES
1063052-105,0,74428,DEM,36769,PE
1063052-105,1,178985,PR,36814,SP
1063052-105,0,74787,PR,36814,SP
1063052-105,1,74862,REDE,36886,RJ
1063052-105,-1,178895,DEM,36769,MG
1063052-105,1,160561,DEM,36769,SP
1063052-105,1,178859,PT,36844,BA
1063052-105,1,74457,DEM,36769,CE
1063052-105,0,160567,PSDB,36835,RS
1063052-105,1,73553,PTB,36845,SP
1063052-105,1,160566,PSC,36833,PR
1063052-105,1,178896,PMDB,36800,MG
1063052-105,1,74751,PT,36844,MG
1063052-105,1,166401,PSDB,36835,MT
1063052-105,1,74352,PSDB,36835,PA
1063052-105,1,178986,PT,36844,SP
1063052-105,1,74359,PTB,36845,RO
1063052-105,1,178868,PROS,36763,CE
1063052-105,1,74399,DEM,36769,RS
1063052-105,1,178987,PCdoB,36779,SP
1063052-105,1,73692,PMDB,36800,RS
1063052-105,1,160556,PT,36844,MG
1063052-105,1,74319,PTB,36845,PI
1063052-105,1,160642,PHS,36793,PE
1063052-105,1,171617,PT,36844,AL
1063052-105,1,141516,PSDB,36835,MG
1063052-105,-1,178860,DEM,36769,BA
1063052-105,1,160517,PSB,36832,ES
1063052-105,1,160558,PR,36814,SP
1063052-105,1,141517,PP,36809,CE
1063052-105,1,74574,PSD,36834,BA
1063052-105,1,193726,PSC,36833,PR
1063052-105,1,74400,PT,36844,RS
1063052-105,1,141488,PT,36844,SP
1063052-105,1,74812,PMDB,36800,GO
1063052-105,1,74449,PTB,36845,MA
1063052-105,1,160604,PT,36844,SC
1063052-105,1,178844,PSDB,36835,AL
1063052-105,1,141445,PT,36844,RS
1063052-105,1,160601,PSC,36833,SP
1063052-105,-1,148134,PSC,36833,MT
1063052-105,1,160641,PCdoB,36779,AP
1063052-105,1,178951,PSB,36832,RN
1063052-105,1,74216,PSDB,36835,CE
1063052-105,1,178998,PSD,36834,MG
1063052-105,1,74048,PPS,36813,PE
1063052-105,1,74161,PT,36844,MG
1063052-105,1,178989,PTN,36848,SP
1063052-105,0,73788,PP,36809,PR
1063052-105,1,141472,PSDB,36835,SP
1063052-105,1,152610,PRB,36815,SP
1063052-105,-1,73674,PP,36809,GO
1063052-105,1,141529,PP,36809,BA
1063052-105,1,73805,PPS,36813,SP
1063052-105,1,178995,PDT,36786,AP
1063052-105,1,178944,PRB,36815,RJ
1063052-105,1,178840,PSDB,36835,AC
1063052-105,1,141531,PSDB,36835,MG
1063052-105,-1,74693,DEM,36769,RJ
1063052-105,1,178926,PSB,36832,PI
1063052-105,1,141535,PSDB,36835,RN
1063052-105,-1,160651,PMDB,36800,SC
1063052-105,1,160426,PSD,36834,DF
1063052-105,1,141536,PSD,36834,PB
1063052-105,1,160515,PMDB,36800,SC
1063052-105,-1,178861,PP,36809,BA
1063052-105,1,160637,PROS,36763,DF
1063052-105,1,163321,PTB,36845,RS
1063052-105,1,178870,PP,36809,DF
1063052-105,1,178945,PRB,36815,RJ
1063052-105,1,73466,PPS,36813,PR
1063052-105,1,74371,PT,36844,GO
1063052-105,1,178887,PCdoB,36779,MA
1063052-105,1,160630,PT,36844,MT
1063052-105,1,178990,PSDB,36835,SP
1063052-105,1,74372,PP,36809,GO
1063052-105,1,74762,PMDB,36800,MG
1063052-105,1,178991,PRB,36815,SP
1063052-105,1,178933,PMDB,36800,PR
1063052-105,1,178874,PDT,36786,ES
1063052-105,1,178961,PSDB,36835,RR
1063052-105,1,160613,PT,36844,AC
1063052-105,1,74765,PMDB,36800,MG
1063052-105,1,74356,PRB,36815,AM
1063052-105,1,187008,PR,36814,PI
1063052-105,1,4930,PTdoB,36847,PE
1063052-105,1,73560,PSDB,36835,SP
1063052-105,1,178947,DEM,36769,RJ
1063052-105,1,92776,PSD,36834,MG
1063052-105,1,177282,PDT,36786,MG
1063052-105,1,178922,PSB,36832,PE
1063052-105,1,73831,PSD,36834,MT
1063052-105,1,178898,PSB,36832,MG
1063052-105,1,178901,PSB,36832,MS
1063052-105,1,160976,PR,36814,SP
1063052-105,1,160611,PP,36809,MG
1063052-105,1,178934,PROS,36763,PR
1063052-105,1,178863,PV,36851,BA
1063052-105,-1,74010,PMDB,36800,SC
1063052-105,1,160610,PT,36844,BA
1063052-105,1,141552,PMDB,36800,MT
1063052-105,1,74376,PT,36844,MS
1063052-105,1,74308,PDT,36786,CE
1063052-105,1,160622,PT,36844,SP
1063052-105,1,74283,PT,36844,SP
1063052-105,1,137070,PR,36814,TO
1063052-105,1,178888,PSD,36834,MA
1063052-105,1,141555,PRB,36815,SP
1063052-105,1,178992,PSDB,36835,SP
1063052-105,0,178869,PMDB,36800,CE
1063052-105,1,189593,PT,36844,RJ
1063052-105,1,137853,PCdoB,36779,MG
1063052-105,1,141558,PP,36809,MA
