"idEvento";"uriEvento";"tituloRequerimento";"uriRequerimento"
"58521";"https://dadosabertos.camara.leg.br/api/v2/eventos/58521";"REQ 9/2019 CEPOLICI";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226957"
"58521";"https://dadosabertos.camara.leg.br/api/v2/eventos/58521";"REQ 8/2019 CEPOLICI";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226952"
"58522";"https://dadosabertos.camara.leg.br/api/v2/eventos/58522";"REQ 54/2019 CINDRA";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2200395"
"58523";"https://dadosabertos.camara.leg.br/api/v2/eventos/58523";"REQ 117/2019 CINDRA";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2217339"
"58524";"https://dadosabertos.camara.leg.br/api/v2/eventos/58524";"REQ 294/2019 CSSF";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2220601"
"58526";"https://dadosabertos.camara.leg.br/api/v2/eventos/58526";"REQ 24/2019 PL164619";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222803"
"58545";"https://dadosabertos.camara.leg.br/api/v2/eventos/58545";"REQ 182/2019 CAPADR";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227307"
"58545";"https://dadosabertos.camara.leg.br/api/v2/eventos/58545";"REQ 150/2019 CAPADR";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2220486"
"58545";"https://dadosabertos.camara.leg.br/api/v2/eventos/58545";"REQ 158/2019 CAPADR";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222584"
"58545";"https://dadosabertos.camara.leg.br/api/v2/eventos/58545";"REQ 178/2019 CAPADR";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227172"
"58555";"https://dadosabertos.camara.leg.br/api/v2/eventos/58555";"REQ 90/2019 CCULT";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224209"
"58557";"https://dadosabertos.camara.leg.br/api/v2/eventos/58557";"REQ 91/2019 CDC";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225568"
"58557";"https://dadosabertos.camara.leg.br/api/v2/eventos/58557";"REQ 95/2019 CDC";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227077"
"58558";"https://dadosabertos.camara.leg.br/api/v2/eventos/58558";"REQ 13/2019 CEXOLEO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227391"
"58558";"https://dadosabertos.camara.leg.br/api/v2/eventos/58558";"REQ 1/2019 CEXOLEO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227270"
"58559";"https://dadosabertos.camara.leg.br/api/v2/eventos/58559";"REQ 98/2019 CFT";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2222942"
"58560";"https://dadosabertos.camara.leg.br/api/v2/eventos/58560";"REQ 70/2019 CFT";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2213152"
"58567";"https://dadosabertos.camara.leg.br/api/v2/eventos/58567";"REQ 163/2019 CSPCCO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2225918"
"58569";"https://dadosabertos.camara.leg.br/api/v2/eventos/58569";"REQ 32/2019 PL230315";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2223841"
"58569";"https://dadosabertos.camara.leg.br/api/v2/eventos/58569";"REQ 9/2019 PL230315";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2216216"
"58578";"https://dadosabertos.camara.leg.br/api/v2/eventos/58578";"REQ 7/2019 PL10887";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2218414"
"58578";"https://dadosabertos.camara.leg.br/api/v2/eventos/58578";"REQ 30/2019 PL10887";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227178"
"58578";"https://dadosabertos.camara.leg.br/api/v2/eventos/58578";"REQ 29/2019 PL10887";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227152"
"58578";"https://dadosabertos.camara.leg.br/api/v2/eventos/58578";"REQ 22/2019 PL10887";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2220149"
"58580";"https://dadosabertos.camara.leg.br/api/v2/eventos/58580";"REQ 62/2019 CMADS";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2210070"
"58581";"https://dadosabertos.camara.leg.br/api/v2/eventos/58581";"REQ 127/2019 CMADS";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2223581"
"58582";"https://dadosabertos.camara.leg.br/api/v2/eventos/58582";"REQ 101/2019 CFFC";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226254"
"58590";"https://dadosabertos.camara.leg.br/api/v2/eventos/58590";"REQ 58/2019 CLP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2211015"
"58593";"https://dadosabertos.camara.leg.br/api/v2/eventos/58593";"REQ 277/2019 CE";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224254"
"58600";"https://dadosabertos.camara.leg.br/api/v2/eventos/58600";"REQ 70/2019 CPD";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2224625"
"58604";"https://dadosabertos.camara.leg.br/api/v2/eventos/58604";"REQ 108/2019 CSSF";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2199007"
"58607";"https://dadosabertos.camara.leg.br/api/v2/eventos/58607";"REQ 145/2019 CCTCI";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229254"
"58607";"https://dadosabertos.camara.leg.br/api/v2/eventos/58607";"REQ 58/2019 CCTCI";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2205224"
"58609";"https://dadosabertos.camara.leg.br/api/v2/eventos/58609";"REQ 117/2019 CLP";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2226076"
"58610";"https://dadosabertos.camara.leg.br/api/v2/eventos/58610";"REQ 51/2019 PL804510";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227406"
"58614";"https://dadosabertos.camara.leg.br/api/v2/eventos/58614";"REQ 1/2019 PL191715";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227207"
"58614";"https://dadosabertos.camara.leg.br/api/v2/eventos/58614";"REQ 2/2019 PL191715";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227244"
"58620";"https://dadosabertos.camara.leg.br/api/v2/eventos/58620";"REQ 72/2019 CIDOSO";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2227701"
