idProposicao,idDeputadoAutor
2207127,178900.0
2197097,178900.0
2184578,160633.0
2180540,160572.0
2180537,160572.0
2179237,74040.0
2141839,160572.0
2136596,4930.0
2135120,178852.0
2132729,74041.0
2118335,164360.0
2118334,164360.0
2115108,74040.0
2110932,73788.0
2086874,141482.0
2085834,178947.0
2084028,160572.0
2081753,178875.0
2080755,160567.0
2079146,160512.0
2079110,160512.0
2076406,73437.0
2076395,141558.0
2076360,178951.0
2076309,141531.0
2076308,74095.0
2076307,74095.0
2076306,74095.0
2076305,74095.0
2076304,74095.0
2076303,74095.0
2076294,178911.0
2076291,160545.0
2076285,178873.0
2076279,178885.0
2076277,124411.0
2076274,124411.0
2076273,124411.0
2076272,124411.0
2076271,124411.0
2076270,124411.0
2076269,124411.0
2076268,124411.0
2076265,92699.0
2076263,92699.0
2076262,178884.0
2076261,124411.0
2076260,124411.0
2076241,160669.0
2076240,74075.0
2076239,178933.0
2076238,124411.0
2076236,73793.0
2076235,178880.0
2076234,178880.0
2076233,178880.0
2076231,178880.0
2076223,92699.0
2076222,141372.0
2076219,73434.0
2076217,74419.0
2076216,74419.0
2076210,178976.0
2076209,178976.0
2076208,178976.0
2076207,74585.0
2076207,152605.0
2076206,178932.0
2076205,178932.0
2076204,178932.0
2076203,178932.0
2076202,178932.0
2076201,178932.0
2076200,178932.0
2076199,178932.0
2076198,178932.0
2076197,178932.0
2076196,178932.0
2076195,178932.0
2076194,178932.0
2076193,178932.0
2076192,178932.0
2076191,178932.0
2076190,178932.0
2076189,178932.0
2076188,178932.0
2076187,178932.0
2076186,178932.0
2076185,178932.0
2076184,178932.0
2076183,178932.0
2076182,178932.0
2076181,178932.0
2076180,178932.0
2076179,178932.0
2076178,178932.0
2076177,178932.0
2076176,178932.0
2076175,178932.0
2076174,178932.0
2076173,178932.0
2076172,178932.0
2076171,178932.0
2076170,178932.0
2076169,178932.0
2076168,178932.0
2076167,178932.0
2076166,178932.0
2076165,178932.0
2076164,178932.0
2076163,178932.0
2076162,178932.0
2076161,178932.0
2076160,178932.0
2076159,178932.0
2076158,178932.0
2076157,178932.0
2076156,178932.0
2076155,178932.0
2076154,178932.0
2076153,178932.0
2076152,178932.0
2076151,178932.0
2076150,178932.0
2076149,178932.0
2076148,178932.0
2076147,178932.0
2076146,178932.0
2076145,178932.0
2076144,178932.0
2076143,178932.0
2076142,178932.0
2076141,178932.0
2076140,178932.0
2076139,178932.0
2076138,178932.0
2076137,152605.0
2076136,178932.0
2076135,178932.0
2076134,178932.0
2076133,178932.0
2076132,178932.0
2076131,178932.0
2076130,178932.0
2076129,178932.0
2076128,73437.0
2076126,74161.0
2076125,73434.0
2076124,73434.0
2076123,73434.0
2076122,74317.0
2076118,178932.0
2076116,160673.0
2076115,178932.0
2076114,178932.0
2076113,178932.0
2076112,141458.0
2076111,178932.0
2076110,178932.0
2076109,74041.0
2076108,74041.0
2076107,74041.0
2076106,187008.0
2076105,74041.0
2076104,74041.0
2076103,160512.0
2076101,178932.0
2076100,178932.0
2076099,178932.0
2076098,178932.0
2076097,178932.0
2076096,178932.0
2076095,178932.0
2076094,178932.0
2076093,178932.0
2076092,178932.0
2076091,178932.0
2076090,178932.0
2076089,178932.0
2076088,178932.0
2076087,178932.0
2076086,178932.0
2076085,178932.0
2076084,178932.0
2076083,178932.0
2076082,178932.0
2076081,178932.0
2076080,178932.0
2076079,178932.0
2076078,178932.0
2076077,178932.0
2076076,178932.0
2076075,178932.0
2076074,160512.0
2076073,178932.0
2076072,178932.0
2076071,178849.0
2076070,178849.0
2076069,178849.0
2076068,178849.0
2076067,178849.0
2076066,178849.0
2076065,178849.0
2076064,178849.0
2076063,178932.0
2076062,178963.0
2076061,178932.0
2076060,178932.0
2076059,178932.0
2076058,178932.0
2076057,178932.0
2076056,178932.0
2076055,178932.0
2076053,177282.0
2076052,178847.0
2076051,178847.0
2076050,178847.0
2076049,178847.0
2076048,178847.0
2076047,178847.0
2076046,74319.0
2076045,74319.0
2076044,74319.0
2076043,74041.0
2076038,160673.0
2076037,74075.0
2076036,160569.0
2076035,178890.0
2076034,160569.0
2076032,160569.0
2076031,160569.0
2076029,178981.0
2076028,160543.0
2076025,74262.0
2076023,178993.0
2076022,178993.0
2076021,73793.0
2076020,73793.0
2076019,73793.0
2076018,178993.0
2076015,178981.0
2076011,74862.0
2076010,74862.0
2076009,74862.0
2076008,74862.0
2076007,74862.0
2076006,74862.0
2076005,74862.0
2076004,74862.0
2076003,74862.0
2076002,74862.0
2076001,74862.0
2076000,178849.0
2075999,178849.0
2075998,178849.0
2075997,178849.0
2075996,178849.0
2075995,178849.0
2075994,178849.0
2075993,178849.0
2075992,178849.0
2075991,178849.0
2075987,178849.0
2075986,178849.0
2075985,178849.0
2075984,178849.0
2075983,178849.0
2075982,178849.0
2075981,178849.0
2075980,178849.0
2075979,178849.0
2075978,74650.0
2075977,178898.0
2075975,160575.0
2075969,73692.0
2075967,160567.0
2075966,160567.0
2075965,178903.0
2075964,178903.0
2075963,93472.0
2075962,160559.0
2075961,178944.0
2075960,160559.0
2075958,160649.0
2075957,74173.0
2075956,64960.0
2075955,64960.0
2075954,178882.0
2075952,178891.0
2075951,178891.0
2075950,124411.0
2075944,178937.0
2075943,73674.0
2075942,160976.0
2075941,178889.0
2075940,74060.0
2075938,112437.0
2075937,178889.0
2075936,178889.0
2075935,74060.0
2075934,74060.0
2075933,178973.0
2075932,178882.0
2075931,177282.0
2075929,73483.0
2075923,74449.0
2075920,160630.0
2075919,73486.0
2075918,178944.0
2075917,160649.0
2075916,74428.0
2075915,178989.0
2075914,178989.0
2075913,178989.0
2075912,178989.0
2075911,178989.0
2075910,74398.0
2075909,160649.0
2075908,160649.0
2075907,160649.0
2075906,160649.0
2075905,178922.0
2075904,178894.0
2075903,178922.0
2075902,178922.0
2075901,160426.0
2075900,178922.0
2075899,74398.0
2075898,178929.0
2075897,178929.0
2075896,178847.0
2075895,178847.0
2075894,178847.0
2075893,178847.0
2075892,178847.0
2075891,178862.0
2075890,178847.0
2075889,122466.0
2075888,122466.0
2075886,74040.0
2075885,73486.0
2075884,74398.0
2075883,73486.0
2075882,178862.0
2075881,178862.0
2075880,160545.0
2075879,160545.0
2075874,192120.0
2075873,192120.0
2075872,74856.0
2075864,114941.0
2075861,74270.0
2075860,114941.0
2075855,160512.0
2075849,160512.0
2075847,178847.0
2075843,160651.0
2075842,160512.0
2075841,160512.0
2075840,160655.0
2075839,160655.0
2075838,160655.0
2075837,160655.0
2075836,160673.0
2075835,178932.0
2075834,178932.0
