"idEvento";"uriEvento";"idOrgao";"uriOrgao";"siglaOrgao"
"56975";"https://dadosabertos.camara.leg.br/api/v2/eventos/56975";"536996";"https://dadosabertos.camara.leg.br/api/v2/orgaos/536996";"CCULT"
"57327";"https://dadosabertos.camara.leg.br/api/v2/eventos/57327";"537870";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537870";"CMULHER"
"57411";"https://dadosabertos.camara.leg.br/api/v2/eventos/57411";"537480";"https://dadosabertos.camara.leg.br/api/v2/orgaos/537480";"CPD"
"57422";"https://dadosabertos.camara.leg.br/api/v2/eventos/57422";"6066";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6066";"CTUR"
"57447";"https://dadosabertos.camara.leg.br/api/v2/eventos/57447";"538430";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538430";"PL10887"
"57474";"https://dadosabertos.camara.leg.br/api/v2/eventos/57474";"5438";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5438";"CLP"
"57498";"https://dadosabertos.camara.leg.br/api/v2/eventos/57498";"538344";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538344";"PL804510"
"56907";"https://dadosabertos.camara.leg.br/api/v2/eventos/56907";"5503";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5503";"CSPCCO"
"57358";"https://dadosabertos.camara.leg.br/api/v2/eventos/57358";"538606";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538606";"PEC04519"
"57135";"https://dadosabertos.camara.leg.br/api/v2/eventos/57135";"2009";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2009";"CE"
"57377";"https://dadosabertos.camara.leg.br/api/v2/eventos/57377";"2003";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"CCJC"
"57198";"https://dadosabertos.camara.leg.br/api/v2/eventos/57198";"2014";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2014";"CSSF"
"57353";"https://dadosabertos.camara.leg.br/api/v2/eventos/57353";"5438";"https://dadosabertos.camara.leg.br/api/v2/orgaos/5438";"CLP"
"57466";"https://dadosabertos.camara.leg.br/api/v2/eventos/57466";"538661";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538661";"SUBESCRA"
"57507";"https://dadosabertos.camara.leg.br/api/v2/eventos/57507";"6855";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"CMO"
"57558";"https://dadosabertos.camara.leg.br/api/v2/eventos/57558";"538471";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538471";"GTPENAL"
"57314";"https://dadosabertos.camara.leg.br/api/v2/eventos/57314";"538606";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538606";"PEC04519"
"57450";"https://dadosabertos.camara.leg.br/api/v2/eventos/57450";"538650";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538650";"PL326119"
"57409";"https://dadosabertos.camara.leg.br/api/v2/eventos/57409";"2015";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2015";"CTASP"
